n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.34259999999998175
0,0,2,0.6075999999999552
0,0,3,0.6931999999999474
0,0,4,0.6859999999999477
0,1,2,0.3395999999999817
0,1,3,0.610399999999956
0,1,4,0.6915999999999477
0,2,3,0.34739999999998106
0,2,4,0.6121999999999553
0,3,4,0.34219999999998185
1,0,1,0.33479999999998344
1,0,2,0.5977999999999604
1,0,3,0.6719999999999535
1,0,4,0.6671999999999537
1,1,2,0.3351999999999837
1,1,3,0.5897999999999615
1,1,4,0.6767999999999528
1,2,3,0.33819999999998385
1,2,4,0.5907999999999614
1,3,4,0.3299999999999839
2,0,1,0.339799999999982
2,0,2,0.601399999999958
2,0,3,0.6913999999999485
2,0,4,0.6861999999999493
2,1,2,0.3393999999999824
2,1,3,0.6023999999999575
2,1,4,0.6897999999999489
2,2,3,0.34199999999998215
2,2,4,0.6063999999999575
2,3,4,0.3449999999999819
3,0,1,0.36099999999997856
3,0,2,0.6499999999999504
3,0,3,0.7379999999999414
3,0,4,0.7389999999999414
3,1,2,0.36439999999997796
3,1,3,0.6525999999999503
3,1,4,0.7465999999999415
3,2,3,0.3583999999999789
3,2,4,0.6491999999999511
3,3,4,0.3607999999999789
4,0,1,0.317599999999985
4,0,2,0.5549999999999657
4,0,3,0.6263999999999595
4,0,4,0.6369999999999594
4,1,2,0.31639999999998586
4,1,3,0.5557999999999648
4,1,4,0.6437999999999582
4,2,3,0.324799999999985
4,2,4,0.5623999999999655
4,3,4,0.31539999999998575
5,0,1,0.304999999999986
5,0,2,0.526399999999968
5,0,3,0.5927999999999621
5,0,4,0.5915999999999624
5,1,2,0.30459999999998627
5,1,3,0.5259999999999675
5,1,4,0.5895999999999626
5,2,3,0.2995999999999866
5,2,4,0.5195999999999681
5,3,4,0.2979999999999865
6,0,1,0.3475999999999819
6,0,2,0.6171999999999578
6,0,3,0.713399999999947
6,0,4,0.7123999999999474
6,1,2,0.3447999999999824
6,1,3,0.6209999999999574
6,1,4,0.7157999999999479
6,2,3,0.3525999999999817
6,2,4,0.6329999999999562
6,3,4,0.3495999999999817
7,0,1,0.318799999999985
7,0,2,0.565399999999962
7,0,3,0.6499999999999531
7,0,4,0.6487999999999526
7,1,2,0.32119999999998416
7,1,3,0.568599999999961
7,1,4,0.6501999999999524
7,2,3,0.32059999999998406
7,2,4,0.5633999999999622
7,3,4,0.3193999999999851
8,0,1,0.3639999999999797
8,0,2,0.6597999999999486
8,0,3,0.7637999999999374
8,0,4,0.7719999999999367
8,1,2,0.36399999999997956
8,1,3,0.665799999999949
8,1,4,0.7695999999999364
8,2,3,0.3687999999999793
8,2,4,0.6685999999999478
8,3,4,0.3659999999999788
9,0,1,0.29859999999998876
9,0,2,0.5151999999999709
9,0,3,0.5909999999999649
9,0,4,0.5837999999999648
9,1,2,0.29239999999998945
9,1,3,0.5133999999999718
9,1,4,0.5849999999999652
9,2,3,0.2993999999999891
9,2,4,0.5109999999999715
9,3,4,0.2951999999999888
