n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.08240000000000001
0,0,2,0.07330000000000003
0,0,3,0.0785
0,0,4,0.0827000000000001
0,1,2,0.0889
0,1,3,0.08550000000000003
0,1,4,0.0819
0,2,3,0.07720000000000002
0,2,4,0.08420000000000011
0,3,4,0.07900000000000003
1,0,1,0.0750999999999999
1,0,2,0.07730000000000001
1,0,3,0.07769999999999999
1,0,4,0.07690000000000002
1,1,2,0.07680000000000002
1,1,3,0.07850000000000001
1,1,4,0.0787
1,2,3,0.08020000000000008
1,2,4,0.07260000000000004
1,3,4,0.07950000000000002
2,0,1,0.08330000000000004
2,0,2,0.07360000000000003
2,0,3,0.08429999999999993
2,0,4,0.07870000000000006
2,1,2,0.07480000000000006
2,1,3,0.08079999999999998
2,1,4,0.07450000000000007
2,2,3,0.0798
2,2,4,0.07419999999999999
2,3,4,0.08340000000000003
3,0,1,0.08280000000000003
3,0,2,0.09320000000000005
3,0,3,0.09070000000000003
3,0,4,0.08380000000000003
3,1,2,0.09250000000000003
3,1,3,0.08790000000000005
3,1,4,0.08680000000000002
3,2,3,0.09140000000000006
3,2,4,0.09020000000000002
3,3,4,0.08879999999999996
4,0,1,0.07090000000000002
4,0,2,0.07270000000000004
4,0,3,0.06820000000000008
4,0,4,0.07510000000000007
4,1,2,0.06589999999999999
4,1,3,0.06140000000000006
4,1,4,0.06550000000000002
4,2,3,0.0696
4,2,4,0.07340000000000002
4,3,4,0.06960000000000005
5,0,1,0.07309999999999998
5,0,2,0.0637000000000001
5,0,3,0.06790000000000007
5,0,4,0.06550000000000006
5,1,2,0.07410000000000001
5,1,3,0.07130000000000007
5,1,4,0.06480000000000005
5,2,3,0.07460000000000006
5,2,4,0.06950000000000005
5,3,4,0.07040000000000005
6,0,1,0.0836
6,0,2,0.09209999999999999
6,0,3,0.0868000000000001
6,0,4,0.08580000000000002
6,1,2,0.08750000000000008
6,1,3,0.08790000000000008
6,1,4,0.09300000000000001
6,2,3,0.08130000000000014
6,2,4,0.09469999999999996
6,3,4,0.08640000000000002
7,0,1,0.07000000000000009
7,0,2,0.07130000000000007
7,0,3,0.08000000000000002
7,0,4,0.07790000000000002
7,1,2,0.07370000000000002
7,1,3,0.0762
7,1,4,0.08319999999999998
7,2,3,0.07740000000000001
7,2,4,0.08080000000000002
7,3,4,0.08470000000000003
8,0,1,0.08479999999999996
8,0,2,0.08329999999999999
8,0,3,0.0759
8,0,4,0.08780000000000002
8,1,2,0.07820000000000002
8,1,3,0.08260000000000003
8,1,4,0.08750000000000004
8,2,3,0.08599999999999991
8,2,4,0.0873
8,3,4,0.08080000000000005
9,0,1,0.07230000000000006
9,0,2,0.07350000000000001
9,0,3,0.07790000000000001
9,0,4,0.07920000000000009
9,1,2,0.07180000000000004
9,1,3,0.07880000000000009
9,1,4,0.08120000000000008
9,2,3,0.07630000000000005
9,2,4,0.0763
9,3,4,0.07720000000000002
