n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.054649999999999956
0,0,2,0.05364999999999996
0,0,3,0.05254999999999996
0,0,4,0.05534999999999997
0,1,2,0.05054999999999999
0,1,3,0.05239999999999997
0,1,4,0.052799999999999986
0,2,3,0.04995
0,2,4,0.05505000000000001
0,3,4,0.05360000000000001
1,0,1,0.05310000000000002
1,0,2,0.04925000000000001
1,0,3,0.051149999999999946
1,0,4,0.05325
1,1,2,0.054450000000000054
1,1,3,0.05679999999999998
1,1,4,0.05175000000000005
1,2,3,0.04695
1,2,4,0.05309999999999996
1,3,4,0.052800000000000014
2,0,1,0.04924999999999996
2,0,2,0.0546
2,0,3,0.05105
2,0,4,0.05420000000000004
2,1,2,0.05149999999999996
2,1,3,0.04630000000000001
2,1,4,0.04835
2,2,3,0.04819999999999999
2,2,4,0.05270000000000002
2,3,4,0.053500000000000006
3,0,1,0.048499999999999974
3,0,2,0.054400000000000004
3,0,3,0.05560000000000002
3,0,4,0.04984999999999995
3,1,2,0.0501
3,1,3,0.053499999999999964
3,1,4,0.05199999999999999
3,2,3,0.056199999999999965
3,2,4,0.049349999999999984
3,3,4,0.05244999999999997
4,0,1,0.05755000000000002
4,0,2,0.060200000000000024
4,0,3,0.060000000000000005
4,0,4,0.06365000000000004
4,1,2,0.059399999999999994
4,1,3,0.05855000000000002
4,1,4,0.05625000000000001
4,2,3,0.05515000000000005
4,2,4,0.0553
4,3,4,0.05484999999999999
5,0,1,0.05279999999999996
5,0,2,0.04345000000000001
5,0,3,0.04614999999999997
5,0,4,0.04894999999999998
5,1,2,0.050049999999999914
5,1,3,0.05094999999999999
5,1,4,0.04754999999999996
5,2,3,0.04639999999999998
5,2,4,0.04839999999999998
5,3,4,0.05039999999999998
6,0,1,0.047049999999999995
6,0,2,0.047450000000000034
6,0,3,0.05055000000000003
6,0,4,0.052650000000000016
6,1,2,0.05120000000000003
6,1,3,0.05445
6,1,4,0.0537
6,2,3,0.05099999999999999
6,2,4,0.052550000000000006
6,3,4,0.05160000000000002
7,0,1,0.0488
7,0,2,0.05029999999999996
7,0,3,0.050100000000000006
7,0,4,0.05479999999999996
7,1,2,0.04699999999999997
7,1,3,0.05529999999999995
7,1,4,0.057800000000000004
7,2,3,0.05114999999999997
7,2,4,0.05540000000000001
7,3,4,0.05939999999999997
8,0,1,0.06235000000000003
8,0,2,0.06080000000000003
8,0,3,0.05820000000000002
8,0,4,0.060199999999999976
8,1,2,0.06370000000000002
8,1,3,0.05794999999999996
8,1,4,0.061549999999999994
8,2,3,0.05749999999999999
8,2,4,0.052749999999999984
8,3,4,0.059749999999999984
9,0,1,0.048200000000000034
9,0,2,0.05200000000000001
9,0,3,0.049600000000000026
9,0,4,0.050650000000000014
9,1,2,0.04915000000000006
9,1,3,0.05055000000000006
9,1,4,0.04995000000000001
9,2,3,0.04780000000000001
9,2,4,0.04980000000000003
9,3,4,0.044900000000000016
