n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.664899999999941
0,0,2,0.6558999999999419
0,0,3,0.6771999999999401
0,0,4,0.6712999999999406
0,1,2,0.6617999999999407
0,1,3,0.6672999999999405
0,1,4,0.6637999999999412
0,2,3,0.6591999999999409
0,2,4,0.6558999999999413
0,3,4,0.6705999999999399
1,0,1,0.4876999999999629
1,0,2,0.4879999999999632
1,0,3,0.4808999999999637
1,0,4,0.47969999999996416
1,1,2,0.48949999999996363
1,1,3,0.4813999999999647
1,1,4,0.48679999999996354
1,2,3,0.47389999999996474
1,2,4,0.4884999999999639
1,3,4,0.47419999999996465
2,0,1,0.5984999999999497
2,0,2,0.5951999999999498
2,0,3,0.5989999999999497
2,0,4,0.6005999999999496
2,1,2,0.5816999999999513
2,1,3,0.5788999999999523
2,1,4,0.5813999999999515
2,2,3,0.6004999999999497
2,2,4,0.5970999999999503
2,3,4,0.585899999999951
3,0,1,0.6110999999999479
3,0,2,0.6023999999999486
3,0,3,0.6090999999999481
3,0,4,0.6192999999999471
3,1,2,0.6047999999999486
3,1,3,0.6083999999999481
3,1,4,0.6169999999999471
3,2,3,0.607999999999948
3,2,4,0.6069999999999481
3,3,4,0.614199999999947
4,0,1,0.4913999999999647
4,0,2,0.48649999999996596
4,0,3,0.4976999999999655
4,0,4,0.47989999999996613
4,1,2,0.4910999999999648
4,1,3,0.4901999999999646
4,1,4,0.4913999999999647
4,2,3,0.4951999999999648
4,2,4,0.48529999999996587
4,3,4,0.4872999999999653
5,0,1,0.6152999999999473
5,0,2,0.6075999999999485
5,0,3,0.608199999999948
5,0,4,0.6098999999999478
5,1,2,0.6105999999999482
5,1,3,0.6095999999999481
5,1,4,0.6058999999999479
5,2,3,0.6133999999999477
5,2,4,0.6175999999999473
5,3,4,0.6171999999999478
6,0,1,0.6765999999999385
6,0,2,0.677899999999938
6,0,3,0.670199999999939
6,0,4,0.6837999999999376
6,1,2,0.6675999999999395
6,1,3,0.669399999999939
6,1,4,0.6736999999999385
6,2,3,0.6723999999999387
6,2,4,0.6680999999999394
6,3,4,0.6750999999999384
7,0,1,0.6283999999999456
7,0,2,0.6302999999999451
7,0,3,0.6253999999999454
7,0,4,0.6248999999999454
7,1,2,0.6211999999999464
7,1,3,0.6320999999999452
7,1,4,0.6369999999999438
7,2,3,0.6346999999999442
7,2,4,0.6238999999999456
7,3,4,0.6298999999999448
8,0,1,0.6254999999999445
8,0,2,0.6230999999999444
8,0,3,0.6196999999999446
8,0,4,0.6142999999999454
8,1,2,0.6244999999999441
8,1,3,0.6219999999999447
8,1,4,0.6215999999999449
8,2,3,0.6261999999999441
8,2,4,0.6248999999999444
8,3,4,0.6200999999999449
9,0,1,0.7136999999999342
9,0,2,0.7078999999999347
9,0,3,0.7097999999999345
9,0,4,0.710299999999935
9,1,2,0.7040999999999359
9,1,3,0.6962999999999366
9,1,4,0.7063999999999356
9,2,3,0.7032999999999355
9,2,4,0.7099999999999352
9,3,4,0.7011999999999359
