n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.7715999999999358
0,0,2,0.7703999999999366
0,0,3,0.784799999999935
0,0,4,0.7681999999999366
0,1,2,0.7645999999999372
0,1,3,0.7677999999999368
0,1,4,0.7635999999999374
0,2,3,0.770199999999937
0,2,4,0.7615999999999374
0,3,4,0.7685999999999368
1,0,1,0.5889999999999611
1,0,2,0.6021999999999607
1,0,3,0.5933999999999606
1,0,4,0.5997999999999599
1,1,2,0.60839999999996
1,1,3,0.5971999999999608
1,1,4,0.6027999999999596
1,2,3,0.598199999999961
1,2,4,0.6051999999999594
1,3,4,0.603399999999959
2,0,1,0.6951999999999502
2,0,2,0.69119999999995
2,0,3,0.6983999999999498
2,0,4,0.7089999999999484
2,1,2,0.6917999999999512
2,1,3,0.6905999999999508
2,1,4,0.6981999999999499
2,2,3,0.7005999999999505
2,2,4,0.6987999999999499
2,3,4,0.7099999999999492
3,0,1,0.7165999999999438
3,0,2,0.7093999999999449
3,0,3,0.7093999999999442
3,0,4,0.7091999999999449
3,1,2,0.7051999999999452
3,1,3,0.7081999999999447
3,1,4,0.7053999999999446
3,2,3,0.7003999999999458
3,2,4,0.703199999999946
3,3,4,0.7075999999999446
4,0,1,0.5623999999999676
4,0,2,0.5687999999999673
4,0,3,0.5611999999999683
4,0,4,0.5737999999999678
4,1,2,0.5629999999999687
4,1,3,0.5639999999999682
4,1,4,0.564999999999968
4,2,3,0.5673999999999692
4,2,4,0.570199999999969
4,3,4,0.5739999999999682
5,0,1,0.7065999999999468
5,0,2,0.7053999999999457
5,0,3,0.7091999999999464
5,0,4,0.7059999999999454
5,1,2,0.708399999999946
5,1,3,0.7059999999999464
5,1,4,0.7105999999999449
5,2,3,0.7215999999999447
5,2,4,0.7107999999999448
5,3,4,0.7123999999999461
6,0,1,0.7875999999999335
6,0,2,0.7813999999999341
6,0,3,0.7853999999999334
6,0,4,0.7775999999999349
6,1,2,0.7833999999999339
6,1,3,0.7743999999999345
6,1,4,0.7799999999999345
6,2,3,0.7785999999999342
6,2,4,0.787799999999934
6,3,4,0.7705999999999354
7,0,1,0.7293999999999426
7,0,2,0.7357999999999411
7,0,3,0.7271999999999422
7,0,4,0.7303999999999425
7,1,2,0.728999999999943
7,1,3,0.7237999999999429
7,1,4,0.7233999999999432
7,2,3,0.7359999999999416
7,2,4,0.7259999999999426
7,3,4,0.7249999999999426
8,0,1,0.7669999999999371
8,0,2,0.7651999999999387
8,0,3,0.7607999999999383
8,0,4,0.7695999999999379
8,1,2,0.7669999999999367
8,1,3,0.762599999999938
8,1,4,0.7689999999999371
8,2,3,0.7641999999999387
8,2,4,0.7615999999999382
8,3,4,0.7739999999999376
9,0,1,0.8069999999999332
9,0,2,0.8045999999999329
9,0,3,0.8135999999999322
9,0,4,0.8029999999999329
9,1,2,0.7957999999999341
9,1,3,0.7921999999999345
9,1,4,0.8079999999999324
9,2,3,0.8073999999999324
9,2,4,0.8043999999999324
9,3,4,0.8035999999999321
