n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.7525999999999392
0,0,2,0.7577999999999383
0,0,3,0.7659999999999377
0,0,4,0.7619999999999382
0,1,2,0.7611999999999381
0,1,3,0.7573999999999388
0,1,4,0.7589999999999384
0,2,3,0.7613999999999385
0,2,4,0.748199999999939
0,3,4,0.7507999999999392
1,0,1,0.5879999999999631
1,0,2,0.5879999999999627
1,0,3,0.5927999999999626
1,0,4,0.5803999999999632
1,1,2,0.5875999999999636
1,1,3,0.5889999999999629
1,1,4,0.5767999999999633
1,2,3,0.5839999999999634
1,2,4,0.5751999999999631
1,3,4,0.5789999999999631
2,0,1,0.6999999999999482
2,0,2,0.6795999999999512
2,0,3,0.6979999999999481
2,0,4,0.7029999999999481
2,1,2,0.704199999999948
2,1,3,0.701999999999948
2,1,4,0.6975999999999484
2,2,3,0.7037999999999485
2,2,4,0.6925999999999486
2,3,4,0.6963999999999484
3,0,1,0.7163999999999431
3,0,2,0.7423999999999404
3,0,3,0.7313999999999421
3,0,4,0.7341999999999416
3,1,2,0.7281999999999418
3,1,3,0.7267999999999419
3,1,4,0.7219999999999427
3,2,3,0.7329999999999414
3,2,4,0.7331999999999412
3,3,4,0.7185999999999428
4,0,1,0.6095999999999627
4,0,2,0.6111999999999621
4,0,3,0.6039999999999632
4,0,4,0.6131999999999627
4,1,2,0.6153999999999615
4,1,3,0.6035999999999616
4,1,4,0.6225999999999615
4,2,3,0.6033999999999629
4,2,4,0.6135999999999624
4,3,4,0.6081999999999621
5,0,1,0.725999999999943
5,0,2,0.7361999999999417
5,0,3,0.7263999999999424
5,0,4,0.7339999999999415
5,1,2,0.732999999999942
5,1,3,0.7341999999999421
5,1,4,0.7423999999999418
5,2,3,0.7281999999999427
5,2,4,0.7335999999999417
5,3,4,0.731999999999943
6,0,1,0.7565999999999379
6,0,2,0.761799999999937
6,0,3,0.7591999999999376
6,0,4,0.7571999999999381
6,1,2,0.767999999999937
6,1,3,0.7655999999999373
6,1,4,0.7517999999999387
6,2,3,0.7545999999999382
6,2,4,0.7513999999999382
6,3,4,0.7529999999999385
7,0,1,0.7437999999999407
7,0,2,0.7499999999999393
7,0,3,0.7395999999999411
7,0,4,0.7457999999999402
7,1,2,0.7399999999999407
7,1,3,0.7405999999999415
7,1,4,0.7443999999999406
7,2,3,0.7439999999999405
7,2,4,0.7499999999999394
7,3,4,0.7457999999999404
8,0,1,0.7579999999999377
8,0,2,0.74879999999994
8,0,3,0.7575999999999387
8,0,4,0.7613999999999385
8,1,2,0.7447999999999398
8,1,3,0.7555999999999385
8,1,4,0.7579999999999387
8,2,3,0.7399999999999402
8,2,4,0.7449999999999404
8,3,4,0.74639999999994
9,0,1,0.8111999999999313
9,0,2,0.8097999999999316
9,0,3,0.8133999999999311
9,0,4,0.8113999999999315
9,1,2,0.805999999999932
9,1,3,0.8039999999999313
9,1,4,0.8121999999999315
9,2,3,0.8095999999999312
9,2,4,0.8147999999999308
9,3,4,0.8159999999999301
