n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.21464999999999873
0,0,2,0.3869499999999981
0,0,3,0.09679999999999961
0,0,4,0.3134999999999983
0,1,2,0.37064999999999704
0,1,3,0.205999999999999
0,1,4,0.31129999999999786
0,2,3,0.3858499999999976
0,2,4,0.32804999999999773
0,3,4,0.31479999999999825
1,0,1,0.35664999999999736
1,0,2,0.3017499999999981
1,0,3,0.40939999999999754
1,0,4,0.3445999999999976
1,1,2,0.281699999999998
1,1,3,0.40129999999999744
1,1,4,0.3703499999999972
1,2,3,0.31129999999999797
1,2,4,0.3577999999999974
1,3,4,0.45434999999999776
2,0,1,0.272449999999998
2,0,2,0.2778499999999984
2,0,3,0.33044999999999747
2,0,4,0.3201999999999976
2,1,2,0.3048499999999977
2,1,3,0.3681999999999973
2,1,4,0.3233999999999977
2,2,3,0.2983999999999975
2,2,4,0.3344999999999979
2,3,4,0.3607499999999977
3,0,1,0.3968999999999977
3,0,2,0.2883999999999982
3,0,3,0.3070499999999979
3,0,4,0.304149999999998
3,1,2,0.34954999999999803
3,1,3,0.3795499999999985
3,1,4,0.36529999999999785
3,2,3,0.2496499999999985
3,2,4,0.3122999999999982
3,3,4,0.29204999999999853
4,0,1,0.3292999999999972
4,0,2,0.20969999999999858
4,0,3,0.261449999999998
4,0,4,0.2594499999999983
4,1,2,0.35279999999999745
4,1,3,0.34249999999999725
4,1,4,0.31724999999999703
4,2,3,0.2766499999999979
4,2,4,0.2177499999999985
4,3,4,0.2919499999999975
5,0,1,0.2515499999999984
5,0,2,0.3279999999999977
5,0,3,0.2997499999999971
5,0,4,0.2826999999999976
5,1,2,0.3621499999999972
5,1,3,0.26869999999999783
5,1,4,0.29664999999999736
5,2,3,0.3865499999999966
5,2,4,0.30319999999999786
5,3,4,0.35339999999999727
6,0,1,0.25604999999999833
6,0,2,0.25264999999999876
6,0,3,0.24834999999999882
6,0,4,0.2318499999999986
6,1,2,0.2595999999999986
6,1,3,0.12879999999999947
6,1,4,0.16104999999999883
6,2,3,0.26694999999999813
6,2,4,0.27319999999999794
6,3,4,0.1660999999999986
7,0,1,0.399349999999998
7,0,2,0.2435499999999988
7,0,3,0.3426499999999983
7,0,4,0.3539499999999979
7,1,2,0.3954499999999984
7,1,3,0.4013499999999978
7,1,4,0.4343999999999986
7,2,3,0.37854999999999805
7,2,4,0.3792999999999975
7,3,4,0.22934999999999864
8,0,1,0.6379000000000017
8,0,2,0.5343500000000015
8,0,3,0.45524999999999666
8,0,4,0.4791999999999973
8,1,2,0.5222500000000003
8,1,3,0.4689999999999971
8,1,4,0.5877000000000016
8,2,3,0.3128999999999976
8,2,4,0.38884999999999675
8,3,4,0.35144999999999704
9,0,1,0.25109999999999794
9,0,2,0.21389999999999834
9,0,3,0.31749999999999656
9,0,4,0.1822999999999983
9,1,2,0.30879999999999685
9,1,3,0.2396499999999978
9,1,4,0.2598999999999977
9,2,3,0.36659999999999626
9,2,4,0.215349999999998
9,3,4,0.2924999999999968
