n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.26599999999999574
0,0,2,0.2597999999999963
0,0,3,0.26799999999999574
0,0,4,0.25999999999999596
0,1,2,0.27819999999999556
0,1,3,0.26679999999999543
0,1,4,0.26199999999999557
0,2,3,0.26219999999999577
0,2,4,0.2521999999999962
0,3,4,0.2645999999999955
1,0,1,0.32619999999999316
1,0,2,0.3311999999999915
1,0,3,0.3371999999999917
1,0,4,0.33079999999999254
1,1,2,0.3267999999999925
1,1,3,0.343199999999992
1,1,4,0.32959999999999284
1,2,3,0.34359999999999097
1,2,4,0.3281999999999921
1,3,4,0.3281999999999924
2,0,1,0.3083999999999955
2,0,2,0.29779999999999646
2,0,3,0.3109999999999958
2,0,4,0.3031999999999961
2,1,2,0.31059999999999627
2,1,3,0.30339999999999595
2,1,4,0.30199999999999616
2,2,3,0.302799999999996
2,2,4,0.2995999999999966
2,3,4,0.2907999999999967
3,0,1,0.2609999999999962
3,0,2,0.27799999999999564
3,0,3,0.2745999999999954
3,0,4,0.27079999999999593
3,1,2,0.27459999999999646
3,1,3,0.270999999999996
3,1,4,0.26199999999999635
3,2,3,0.2833999999999957
3,2,4,0.2665999999999965
3,3,4,0.2639999999999965
4,0,1,0.2247999999999976
4,0,2,0.22739999999999708
4,0,3,0.22239999999999738
4,0,4,0.22639999999999705
4,1,2,0.2187999999999978
4,1,3,0.2253999999999973
4,1,4,0.21959999999999777
4,2,3,0.21059999999999815
4,2,4,0.20559999999999812
4,3,4,0.21479999999999785
5,0,1,0.34099999999999236
5,0,2,0.3385999999999922
5,0,3,0.3333999999999926
5,0,4,0.3351999999999927
5,1,2,0.34399999999999176
5,1,3,0.34479999999999167
5,1,4,0.33679999999999216
5,2,3,0.3393999999999923
5,2,4,0.3481999999999922
5,3,4,0.3399999999999924
6,0,1,0.3733999999999896
6,0,2,0.3673999999999895
6,0,3,0.37099999999998945
6,0,4,0.35959999999999076
6,1,2,0.37579999999998887
6,1,3,0.37359999999998983
6,1,4,0.3613999999999904
6,2,3,0.3725999999999898
6,2,4,0.3749999999999892
6,3,4,0.3799999999999894
7,0,1,0.35739999999999505
7,0,2,0.34839999999999505
7,0,3,0.35079999999999545
7,0,4,0.35199999999999504
7,1,2,0.35379999999999473
7,1,3,0.35719999999999574
7,1,4,0.3417999999999949
7,2,3,0.3527999999999957
7,2,4,0.3497999999999954
7,3,4,0.35239999999999505
8,0,1,0.2249999999999978
8,0,2,0.23319999999999777
8,0,3,0.23459999999999764
8,0,4,0.25239999999999757
8,1,2,0.23799999999999763
8,1,3,0.23399999999999735
8,1,4,0.237999999999998
8,2,3,0.2515999999999975
8,2,4,0.24399999999999736
8,3,4,0.25139999999999757
9,0,1,0.2959999999999943
9,0,2,0.2923999999999941
9,0,3,0.28539999999999466
9,0,4,0.2965999999999939
9,1,2,0.3007999999999946
9,1,3,0.30559999999999365
9,1,4,0.304999999999994
9,2,3,0.28839999999999444
9,2,4,0.29959999999999404
9,3,4,0.30919999999999354
