n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.3063499999999994
0,0,2,0.3384499999999997
0,0,3,0.3793999999999998
0,0,4,0.3650999999999994
0,1,2,0.1569499999999999
0,1,3,0.17599999999999982
0,1,4,0.1852499999999998
0,2,3,0.1859499999999998
0,2,4,0.17524999999999974
0,3,4,0.14129999999999984
1,0,1,0.14374999999999996
1,0,2,0.20309999999999995
1,0,3,0.20459999999999984
1,0,4,0.21329999999999977
1,1,2,0.2549999999999998
1,1,3,0.25769999999999976
1,1,4,0.1864999999999997
1,2,3,0.05794999999999999
1,2,4,0.19740000000000005
1,3,4,0.20474999999999988
2,0,1,0.07914999999999997
2,0,2,0.41174999999999934
2,0,3,0.1826999999999998
2,0,4,0.2862499999999997
2,1,2,0.4009999999999997
2,1,3,0.19144999999999981
2,1,4,0.27854999999999963
2,2,3,0.44204999999999944
2,2,4,0.2960999999999998
2,3,4,0.3087999999999995
3,0,1,0.3793999999999991
3,0,2,0.3845499999999992
3,0,3,0.21924999999999972
3,0,4,0.21309999999999968
3,1,2,0.049949999999999974
3,1,3,0.33904999999999896
3,1,4,0.3930999999999992
3,2,3,0.34639999999999926
3,2,4,0.4013499999999994
3,3,4,0.1868999999999999
4,0,1,0.45979999999999915
4,0,2,0.15124999999999955
4,0,3,0.1581999999999996
4,0,4,0.17399999999999938
4,1,2,0.4292999999999992
4,1,3,0.3994999999999992
4,1,4,0.3812499999999993
4,2,3,0.17369999999999947
4,2,4,0.18359999999999954
4,3,4,0.14869999999999942
5,0,1,0.25955
5,0,2,0.26145
5,0,3,0.3013000000000002
5,0,4,0.06789999999999999
5,1,2,0.24129999999999996
5,1,3,0.2768
5,1,4,0.25604999999999994
5,2,3,0.1820000000000001
5,2,4,0.26549999999999996
5,3,4,0.3044000000000001
6,0,1,0.15454999999999985
6,0,2,0.06564999999999996
6,0,3,0.1830999999999998
6,0,4,0.14099999999999996
6,1,2,0.14754999999999982
6,1,3,0.16385
6,1,4,0.11115
6,2,3,0.17705000000000004
6,2,4,0.13609999999999994
6,3,4,0.16904999999999995
7,0,1,0.19269999999999987
7,0,2,0.16789999999999994
7,0,3,0.1997499999999999
7,0,4,0.07260000000000001
7,1,2,0.2012499999999997
7,1,3,0.07890000000000005
7,1,4,0.20069999999999988
7,2,3,0.1994499999999998
7,2,4,0.18114999999999967
7,3,4,0.20919999999999966
8,0,1,0.1972499999999997
8,0,2,0.5492500000000006
8,0,3,0.5430500000000006
8,0,4,0.055349999999999976
8,1,2,0.5546000000000008
8,1,3,0.5430000000000006
8,1,4,0.20769999999999977
8,2,3,0.06024999999999998
8,2,4,0.5402500000000005
8,3,4,0.5325000000000006
9,0,1,0.20874999999999969
9,0,2,0.13394999999999993
9,0,3,0.06989999999999993
9,0,4,0.15179999999999963
9,1,2,0.22609999999999977
9,1,3,0.1908499999999997
9,1,4,0.23089999999999988
9,2,3,0.14264999999999992
9,2,4,0.06069999999999998
9,3,4,0.15354999999999958
