n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.11134999999999963
0,0,2,0.11109999999999967
0,0,3,0.11164999999999956
0,0,4,0.10859999999999975
0,1,2,0.1091499999999997
0,1,3,0.11169999999999963
0,1,4,0.10834999999999957
0,2,3,0.11529999999999953
0,2,4,0.10459999999999972
0,3,4,0.11159999999999971
1,0,1,0.0831999999999998
1,0,2,0.08424999999999983
1,0,3,0.08664999999999977
1,0,4,0.08114999999999988
1,1,2,0.08269999999999982
1,1,3,0.08449999999999987
1,1,4,0.07919999999999984
1,2,3,0.08564999999999996
1,2,4,0.08314999999999984
1,3,4,0.08464999999999982
2,0,1,0.10709999999999993
2,0,2,0.11045000000000005
2,0,3,0.11064999999999998
2,0,4,0.11184999999999995
2,1,2,0.10384999999999991
2,1,3,0.1114499999999999
2,1,4,0.10580000000000006
2,2,3,0.11239999999999994
2,2,4,0.10564999999999995
2,3,4,0.10084999999999997
3,0,1,0.06854999999999999
3,0,2,0.06919999999999984
3,0,3,0.07219999999999993
3,0,4,0.07879999999999977
3,1,2,0.06504999999999986
3,1,3,0.0700499999999999
3,1,4,0.0750999999999998
3,2,3,0.07544999999999989
3,2,4,0.07499999999999982
3,3,4,0.06814999999999986
4,0,1,0.11389999999999956
4,0,2,0.10634999999999951
4,0,3,0.11769999999999946
4,0,4,0.10744999999999953
4,1,2,0.11739999999999962
4,1,3,0.10534999999999947
4,1,4,0.10924999999999935
4,2,3,0.11489999999999956
4,2,4,0.10024999999999945
4,3,4,0.11469999999999947
5,0,1,0.0699499999999999
5,0,2,0.07684999999999993
5,0,3,0.07934999999999996
5,0,4,0.08169999999999984
5,1,2,0.07404999999999987
5,1,3,0.07519999999999985
5,1,4,0.0789499999999998
5,2,3,0.07979999999999983
5,2,4,0.08094999999999981
5,3,4,0.07864999999999982
6,0,1,0.11819999999999968
6,0,2,0.10854999999999966
6,0,3,0.11154999999999977
6,0,4,0.12194999999999968
6,1,2,0.11009999999999978
6,1,3,0.1070499999999998
6,1,4,0.10239999999999967
6,2,3,0.10039999999999961
6,2,4,0.11884999999999978
6,3,4,0.11229999999999961
7,0,1,0.10644999999999999
7,0,2,0.11115000000000001
7,0,3,0.10614999999999988
7,0,4,0.1044499999999999
7,1,2,0.10749999999999993
7,1,3,0.10819999999999984
7,1,4,0.10329999999999986
7,2,3,0.11124999999999993
7,2,4,0.10349999999999986
7,3,4,0.10345000000000008
8,0,1,0.09414999999999984
8,0,2,0.08504999999999985
8,0,3,0.09274999999999979
8,0,4,0.09019999999999972
8,1,2,0.08714999999999977
8,1,3,0.08579999999999983
8,1,4,0.08604999999999985
8,2,3,0.08124999999999971
8,2,4,0.0885499999999997
8,3,4,0.08709999999999968
9,0,1,0.11504999999999954
9,0,2,0.10744999999999949
9,0,3,0.1061499999999995
9,0,4,0.10279999999999943
9,1,2,0.10579999999999967
9,1,3,0.11369999999999938
9,1,4,0.10569999999999936
9,2,3,0.1032999999999995
9,2,4,0.10484999999999951
9,3,4,0.10569999999999936
10,0,1,0.11779999999999942
10,0,2,0.10909999999999945
10,0,3,0.10999999999999956
10,0,4,0.11164999999999946
10,1,2,0.10219999999999947
10,1,3,0.10934999999999931
10,1,4,0.08904999999999949
10,2,3,0.10894999999999921
10,2,4,0.09434999999999949
10,3,4,0.11274999999999939
11,0,1,0.08709999999999984
11,0,2,0.0850499999999998
11,0,3,0.0892499999999998
11,0,4,0.09124999999999976
11,1,2,0.07269999999999976
11,1,3,0.08509999999999968
11,1,4,0.07724999999999978
11,2,3,0.08319999999999983
11,2,4,0.07794999999999981
11,3,4,0.08554999999999979
12,0,1,0.10395
12,0,2,0.0925
12,0,3,0.09034999999999983
12,0,4,0.0969999999999999
12,1,2,0.10009999999999997
12,1,3,0.09774999999999998
12,1,4,0.09915000000000006
12,2,3,0.09085
12,2,4,0.09264999999999989
12,3,4,0.09155000000000003
13,0,1,0.09374999999999936
13,0,2,0.09749999999999942
13,0,3,0.09059999999999935
13,0,4,0.09474999999999942
13,1,2,0.0911499999999994
13,1,3,0.0917999999999993
13,1,4,0.09389999999999922
13,2,3,0.08569999999999928
13,2,4,0.09009999999999935
13,3,4,0.08669999999999935
14,0,1,0.10449999999999986
14,0,2,0.10864999999999987
14,0,3,0.10449999999999993
14,0,4,0.11269999999999984
14,1,2,0.09975000000000007
14,1,3,0.09549999999999985
14,1,4,0.10384999999999989
14,2,3,0.10594999999999992
14,2,4,0.10744999999999999
14,3,4,0.10400000000000008
15,0,1,0.10424999999999957
15,0,2,0.10914999999999958
15,0,3,0.10609999999999958
15,0,4,0.1113999999999996
15,1,2,0.1090999999999996
15,1,3,0.1104499999999994
15,1,4,0.11279999999999958
15,2,3,0.10444999999999943
15,2,4,0.11394999999999947
15,3,4,0.1058499999999996
16,0,1,0.10399999999999937
16,0,2,0.10474999999999944
16,0,3,0.11114999999999946
16,0,4,0.12109999999999947
16,1,2,0.10414999999999947
16,1,3,0.10594999999999959
16,1,4,0.11769999999999944
16,2,3,0.10059999999999934
16,2,4,0.10489999999999942
16,3,4,0.10549999999999947
17,0,1,0.08704999999999928
17,0,2,0.09279999999999948
17,0,3,0.0942999999999994
17,0,4,0.09049999999999933
17,1,2,0.0887999999999994
17,1,3,0.08649999999999937
