n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.26279999999999576
0,0,2,0.26279999999999565
0,0,3,0.265599999999996
0,0,4,0.2575999999999961
0,1,2,0.2623999999999959
0,1,3,0.26019999999999577
0,1,4,0.26559999999999556
0,2,3,0.26819999999999566
0,2,4,0.2681999999999957
0,3,4,0.2553999999999963
1,0,1,0.22739999999999716
1,0,2,0.22759999999999725
1,0,3,0.23859999999999704
1,0,4,0.23939999999999692
1,1,2,0.20919999999999758
1,1,3,0.223399999999997
1,1,4,0.21579999999999763
1,2,3,0.2195999999999976
1,2,4,0.21239999999999776
1,3,4,0.22199999999999728
2,0,1,0.2038000000000002
2,0,2,0.21260000000000018
2,0,3,0.2086000000000005
2,0,4,0.20080000000000015
2,1,2,0.21639999999999956
2,1,3,0.21699999999999994
2,1,4,0.20459999999999984
2,2,3,0.21220000000000022
2,2,4,0.20480000000000012
2,3,4,0.2032
3,0,1,0.28679999999999545
3,0,2,0.27999999999999486
3,0,3,0.2799999999999953
3,0,4,0.27499999999999575
3,1,2,0.2717999999999956
3,1,3,0.27699999999999547
3,1,4,0.2761999999999954
3,2,3,0.27599999999999575
3,2,4,0.27619999999999595
3,3,4,0.2727999999999959
4,0,1,0.20719999999999644
4,0,2,0.20799999999999685
4,0,3,0.2109999999999968
4,0,4,0.20699999999999705
4,1,2,0.19899999999999685
4,1,3,0.21259999999999665
4,1,4,0.1987999999999969
4,2,3,0.21419999999999645
4,2,4,0.20259999999999667
4,3,4,0.2071999999999969
5,0,1,0.23519999999999733
5,0,2,0.22819999999999777
5,0,3,0.2397999999999971
5,0,4,0.23479999999999743
5,1,2,0.23199999999999735
5,1,3,0.2371999999999976
5,1,4,0.2465999999999981
5,2,3,0.22899999999999746
5,2,4,0.23399999999999774
5,3,4,0.22439999999999768
6,0,1,0.2635999999999957
6,0,2,0.25539999999999746
6,0,3,0.25019999999999715
6,0,4,0.25959999999999644
6,1,2,0.2631999999999968
6,1,3,0.2607999999999961
6,1,4,0.27559999999999596
6,2,3,0.2581999999999967
6,2,4,0.26019999999999693
6,3,4,0.2609999999999968
7,0,1,0.1883999999999978
7,0,2,0.20219999999999727
7,0,3,0.1933999999999977
7,0,4,0.18259999999999788
7,1,2,0.1917999999999981
7,1,3,0.18279999999999824
7,1,4,0.17579999999999826
7,2,3,0.18419999999999756
7,2,4,0.1953999999999975
7,3,4,0.1755999999999979
8,0,1,0.2025999999999995
8,0,2,0.19939999999999922
8,0,3,0.19439999999999957
8,0,4,0.19839999999999972
8,1,2,0.20119999999999894
8,1,3,0.20479999999999926
8,1,4,0.20559999999999953
8,2,3,0.2063999999999991
8,2,4,0.20039999999999933
8,3,4,0.19079999999999944
9,0,1,0.3139999999999958
9,0,2,0.31419999999999565
9,0,3,0.3041999999999966
9,0,4,0.3145999999999965
9,1,2,0.30299999999999605
9,1,3,0.29879999999999624
9,1,4,0.3049999999999965
9,2,3,0.30159999999999615
9,2,4,0.3083999999999964
9,3,4,0.3017999999999967
