n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.05659999999999999
0,0,2,0.06934999999999995
0,0,3,0.07234999999999996
0,0,4,0.07359999999999997
0,1,2,0.054200000000000005
0,1,3,0.05794999999999999
0,1,4,0.05825
0,2,3,0.05159999999999998
0,2,4,0.055449999999999985
0,3,4,0.05354999999999996
1,0,1,0.050099999999999936
1,0,2,0.06004999999999989
1,0,3,0.059999999999999956
1,0,4,0.07104999999999993
1,1,2,0.04684999999999997
1,1,3,0.04559999999999993
1,1,4,0.04524999999999998
1,2,3,0.038299999999999994
1,2,4,0.046099999999999995
1,3,4,0.04584999999999996
2,0,1,0.03969999999999999
2,0,2,0.05674999999999996
2,0,3,0.05394999999999996
2,0,4,0.04485000000000001
2,1,2,0.052299999999999965
2,1,3,0.05249999999999999
2,1,4,0.04675000000000002
2,2,3,0.05769999999999996
2,2,4,0.06099999999999994
2,3,4,0.04629999999999997
3,0,1,0.05429999999999991
3,0,2,0.07204999999999993
3,0,3,0.05969999999999998
3,0,4,0.05940000000000001
3,1,2,0.06624999999999998
3,1,3,0.06159999999999996
3,1,4,0.05164999999999998
3,2,3,0.05515000000000002
3,2,4,0.06904999999999993
3,3,4,0.05925000000000003
4,0,1,0.06479999999999997
4,0,2,0.08159999999999996
4,0,3,0.08364999999999999
4,0,4,0.08055000000000002
4,1,2,0.046049999999999966
4,1,3,0.05699999999999997
4,1,4,0.05740000000000001
4,2,3,0.04135000000000002
4,2,4,0.04879999999999996
4,3,4,0.04489999999999999
5,0,1,0.048150000000000005
5,0,2,0.05429999999999999
5,0,3,0.04900000000000005
5,0,4,0.05780000000000002
5,1,2,0.05044999999999998
5,1,3,0.04865000000000004
5,1,4,0.0545
5,2,3,0.04985000000000001
5,2,4,0.04825000000000003
5,3,4,0.050350000000000034
6,0,1,0.06644999999999993
6,0,2,0.08399999999999999
6,0,3,0.09
6,0,4,0.0954
6,1,2,0.06660000000000002
6,1,3,0.07694999999999991
6,1,4,0.06999999999999995
6,2,3,0.05895
6,2,4,0.05885
6,3,4,0.057199999999999904
7,0,1,0.042649999999999966
7,0,2,0.042549999999999984
7,0,3,0.045100000000000015
7,0,4,0.047699999999999985
7,1,2,0.045799999999999993
7,1,3,0.05019999999999998
7,1,4,0.05044999999999998
7,2,3,0.04239999999999997
7,2,4,0.04994999999999997
7,3,4,0.0387
8,0,1,0.05084999999999997
8,0,2,0.0714
8,0,3,0.059700000000000024
8,0,4,0.04950000000000001
8,1,2,0.050850000000000006
8,1,3,0.05799999999999996
8,1,4,0.05849999999999998
8,2,3,0.054749999999999986
8,2,4,0.07255
8,3,4,0.06269999999999999
9,0,1,0.07159999999999997
9,0,2,0.07590000000000004
9,0,3,0.05935000000000003
9,0,4,0.06229999999999998
9,1,2,0.06490000000000003
9,1,3,0.07384999999999997
9,1,4,0.06405000000000004
9,2,3,0.07324999999999998
9,2,4,0.06680000000000003
9,3,4,0.057450000000000015
