n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.20999999999999958
0,0,2,0.5017999999999988
0,0,3,0.517799999999999
0,0,4,0.5621999999999978
0,1,2,0.49739999999999873
0,1,3,0.5215999999999994
0,1,4,0.5617999999999981
0,2,3,0.3967999999999999
0,2,4,0.3695999999999996
0,3,4,0.3611999999999996
1,0,1,0.355399999999999
1,0,2,0.3955999999999978
1,0,3,0.36339999999999856
1,0,4,0.38219999999999865
1,1,2,0.37699999999999906
1,1,3,0.33679999999999966
1,1,4,0.2973999999999996
1,2,3,0.44159999999999905
1,2,4,0.3399999999999986
1,3,4,0.39479999999999904
2,0,1,0.2303999999999991
2,0,2,0.35599999999999865
2,0,3,0.3611999999999994
2,0,4,0.23399999999999926
2,1,2,0.3441999999999984
2,1,3,0.35159999999999914
2,1,4,0.23739999999999958
2,2,3,0.3957999999999986
2,2,4,0.35319999999999874
2,3,4,0.3585999999999995
3,0,1,0.511199999999999
3,0,2,0.40899999999999975
3,0,3,0.36739999999999917
3,0,4,0.3793999999999987
3,1,2,0.4973999999999989
3,1,3,0.49439999999999884
3,1,4,0.5189999999999988
3,2,3,0.3551999999999991
3,2,4,0.41399999999999987
3,3,4,0.37679999999999947
4,0,1,0.40059999999999973
4,0,2,0.4001999999999992
4,0,3,0.49179999999999896
4,0,4,0.5391999999999981
4,1,2,0.23799999999999977
4,1,3,0.3995999999999986
4,1,4,0.4151999999999987
4,2,3,0.40359999999999896
4,2,4,0.4323999999999992
4,3,4,0.2573999999999988
5,0,1,0.23379999999999923
5,0,2,0.4309999999999988
5,0,3,0.47039999999999826
5,0,4,0.3451999999999985
5,1,2,0.4359999999999986
5,1,3,0.46339999999999837
5,1,4,0.3323999999999985
5,2,3,0.41059999999999847
5,2,4,0.42299999999999766
5,3,4,0.47779999999999906
6,0,1,0.43519999999999764
6,0,2,0.49479999999999863
6,0,3,0.4027999999999981
6,0,4,0.49759999999999854
6,1,2,0.4387999999999989
6,1,3,0.44199999999999867
6,1,4,0.4399999999999986
6,2,3,0.3971999999999993
6,2,4,0.2405999999999997
6,3,4,0.39699999999999896
7,0,1,0.32819999999999794
7,0,2,0.4099999999999977
7,0,3,0.20079999999999903
7,0,4,0.4129999999999977
7,1,2,0.3441999999999981
7,1,3,0.3333999999999983
7,1,4,0.3425999999999988
7,2,3,0.4061999999999976
7,2,4,0.3409999999999985
7,3,4,0.4113999999999989
8,0,1,0.3995999999999987
8,0,2,0.41799999999999815
8,0,3,0.39799999999999847
8,0,4,0.46519999999999867
8,1,2,0.4339999999999995
8,1,3,0.4141999999999989
8,1,4,0.48199999999999904
8,2,3,0.48339999999999833
8,2,4,0.31899999999999895
8,3,4,0.5197999999999985
9,0,1,0.3615999999999989
9,0,2,0.32339999999999886
9,0,3,0.356199999999998
9,0,4,0.33159999999999873
9,1,2,0.3265999999999994
9,1,3,0.3637999999999991
9,1,4,0.299399999999999
9,2,3,0.3297999999999994
9,2,4,0.2959999999999994
9,3,4,0.33199999999999913
