n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.5562999999999789
0,0,2,0.3301999999999875
0,0,3,0.5360999999999826
0,0,4,0.33169999999998756
0,1,2,0.5796999999999771
0,1,3,0.4500999999999889
0,1,4,0.567499999999979
0,2,3,0.5536999999999812
0,2,4,0.33039999999998787
0,3,4,0.5476999999999816
1,0,1,0.4191999999999832
1,0,2,0.43579999999998414
1,0,3,0.4301999999999836
1,0,4,0.42619999999998276
1,1,2,0.440299999999983
1,1,3,0.33629999999998733
1,1,4,0.34509999999998653
1,2,3,0.4428999999999824
1,2,4,0.4477999999999826
1,3,4,0.3407999999999867
2,0,1,0.46069999999998507
2,0,2,0.4644999999999843
2,0,3,0.44339999999998436
2,0,4,0.47669999999998286
2,1,2,0.4760999999999835
2,1,3,0.4276999999999852
2,1,4,0.4700999999999813
2,2,3,0.48129999999998296
2,2,4,0.5021999999999809
2,3,4,0.4598999999999826
3,0,1,0.30439999999998907
3,0,2,0.5800999999999807
3,0,3,0.3100999999999891
3,0,4,0.32559999999998845
3,1,2,0.5762999999999792
3,1,3,0.29059999999999025
3,1,4,0.30089999999998923
3,2,3,0.5856999999999798
3,2,4,0.5764999999999787
3,3,4,0.2985999999999901
4,0,1,0.5255999999999822
4,0,2,0.5250999999999826
4,0,3,0.4724999999999857
4,0,4,0.5222999999999823
4,1,2,0.31009999999999016
4,1,3,0.5684999999999814
4,1,4,0.2935999999999912
4,2,3,0.5631999999999815
4,2,4,0.31339999999998946
4,3,4,0.5633999999999818
5,0,1,0.543499999999981
5,0,2,0.5562999999999795
5,0,3,0.3261999999999874
5,0,4,0.33589999999998715
5,1,2,0.38059999999998656
5,1,3,0.5471999999999801
5,1,4,0.54609999999998
5,2,3,0.5599999999999797
5,2,4,0.5754999999999784
5,3,4,0.31669999999998816
6,0,1,0.3944999999999839
6,0,2,0.3961999999999839
6,0,3,0.4386999999999828
6,0,4,0.4445999999999836
6,1,2,0.3236999999999867
6,1,3,0.4501999999999818
6,1,4,0.45659999999998163
6,2,3,0.4386999999999826
6,2,4,0.45139999999998276
6,3,4,0.31679999999998815
7,0,1,0.5117999999999838
7,0,2,0.31259999999999
7,0,3,0.3072999999999903
7,0,4,0.31579999999999026
7,1,2,0.5136999999999838
7,1,3,0.503399999999983
7,1,4,0.4929999999999842
7,2,3,0.31069999999999026
7,2,4,0.32559999999998995
7,3,4,0.30699999999999034
8,0,1,0.31739999999998875
8,0,2,0.46719999999998424
8,0,3,0.4702999999999854
8,0,4,0.3147999999999891
8,1,2,0.47719999999998464
8,1,3,0.4835999999999855
8,1,4,0.3245999999999884
8,2,3,0.3915999999999869
8,2,4,0.4803999999999828
8,3,4,0.48189999999998545
9,0,1,0.34059999999998786
9,0,2,0.3407999999999879
9,0,3,0.42409999999998516
9,0,4,0.3430999999999877
9,1,2,0.33489999999998804
9,1,3,0.41859999999998465
9,1,4,0.3351999999999882
9,2,3,0.4205999999999852
9,2,4,0.34439999999998766
9,3,4,0.4173999999999847
