n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.3464000000000001
0,0,2,0.3877
0,0,3,0.3982999999999997
0,0,4,0.36800000000000005
0,1,2,0.3230000000000001
0,1,3,0.40059999999999996
0,1,4,0.21799999999999994
0,2,3,0.4584
0,2,4,0.3083999999999996
0,3,4,0.3389
1,0,1,0.31289999999999957
1,0,2,0.22660000000000008
1,0,3,0.3412999999999999
1,0,4,0.2890999999999999
1,1,2,0.28309999999999996
1,1,3,0.4343999999999996
1,1,4,0.4577999999999999
1,2,3,0.32310000000000005
1,2,4,0.3005999999999996
1,3,4,0.21940000000000015
2,0,1,0.2759999999999993
2,0,2,0.4408999999999997
2,0,3,0.5109999999999995
2,0,4,0.40360000000000007
2,1,2,0.3991999999999999
2,1,3,0.4817999999999997
2,1,4,0.39509999999999945
2,2,3,0.42819999999999947
2,2,4,0.31399999999999983
2,3,4,0.4278999999999999
3,0,1,0.3870999999999995
3,0,2,0.24400000000000013
3,0,3,0.41860000000000014
3,0,4,0.3793999999999999
3,1,2,0.3597999999999999
3,1,3,0.19549999999999992
3,1,4,0.21650000000000008
3,2,3,0.4156999999999999
3,2,4,0.37890000000000007
3,3,4,0.28019999999999984
4,0,1,0.3123000000000001
4,0,2,0.41400000000000026
4,0,3,0.2941000000000001
4,0,4,0.11180000000000004
4,1,2,0.30670000000000003
4,1,3,0.11549999999999995
4,1,4,0.3034000000000001
4,2,3,0.3071000000000002
4,2,4,0.3736
4,3,4,0.28180000000000016
5,0,1,0.21289999999999995
5,0,2,0.2073
5,0,3,0.2943999999999999
5,0,4,0.2965999999999997
5,1,2,0.2770000000000002
5,1,3,0.3546
5,1,4,0.3603999999999998
5,2,3,0.25860000000000016
5,2,4,0.25320000000000004
5,3,4,0.23600000000000015
6,0,1,0.4143000000000002
6,0,2,0.3273000000000001
6,0,3,0.29840000000000005
6,0,4,0.4935000000000001
6,1,2,0.4132999999999999
6,1,3,0.42969999999999964
6,1,4,0.3769999999999997
6,2,3,0.16340000000000013
6,2,4,0.4703999999999996
6,3,4,0.47729999999999967
7,0,1,0.31750000000000006
7,0,2,0.6013000000000002
7,0,3,0.5666
7,0,4,0.4286999999999998
7,1,2,0.4652999999999997
7,1,3,0.45439999999999986
7,1,4,0.28990000000000016
7,2,3,0.20409999999999992
7,2,4,0.3791
7,3,4,0.35279999999999967
8,0,1,0.37950000000000017
8,0,2,0.12050000000000002
8,0,3,0.2717999999999997
8,0,4,0.3771000000000002
8,1,2,0.3539999999999997
8,1,3,0.30019999999999986
8,1,4,0.08330000000000001
8,2,3,0.27709999999999996
8,2,4,0.3555000000000001
8,3,4,0.31170000000000003
9,0,1,0.21760000000000015
9,0,2,0.0925
9,0,3,0.3841999999999997
9,0,4,0.26989999999999986
9,1,2,0.21439999999999995
9,1,3,0.3707
9,1,4,0.2536999999999999
9,2,3,0.3790999999999998
9,2,4,0.2741999999999999
9,3,4,0.3818999999999996
