n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.10790000000000012
0,0,2,0.11325000000000018
0,0,3,0.11054999999999997
0,0,4,0.10655000000000009
0,1,2,0.1126500000000001
0,1,3,0.10525
0,1,4,0.10640000000000009
0,2,3,0.11240000000000007
0,2,4,0.10975000000000001
0,3,4,0.10465000000000003
1,0,1,0.11789999999999975
1,0,2,0.11864999999999977
1,0,3,0.1169999999999998
1,0,4,0.12524999999999967
1,1,2,0.11599999999999973
1,1,3,0.1186499999999998
1,1,4,0.11744999999999983
1,2,3,0.11599999999999967
1,2,4,0.12154999999999984
1,3,4,0.12269999999999974
2,0,1,0.12239999999999977
2,0,2,0.11939999999999967
2,0,3,0.12624999999999975
2,0,4,0.12439999999999965
2,1,2,0.1152999999999997
2,1,3,0.1289999999999996
2,1,4,0.12189999999999965
2,2,3,0.12309999999999964
2,2,4,0.12029999999999962
2,3,4,0.12089999999999955
3,0,1,0.10780000000000013
3,0,2,0.10874999999999997
3,0,3,0.11020000000000005
3,0,4,0.1102500000000002
3,1,2,0.10935000000000006
3,1,3,0.11340000000000006
3,1,4,0.10710000000000004
3,2,3,0.11305000000000004
3,2,4,0.11264999999999997
3,3,4,0.10854999999999997
4,0,1,0.11875000000000012
4,0,2,0.11180000000000004
4,0,3,0.10795000000000005
4,0,4,0.11489999999999999
4,1,2,0.11660000000000008
4,1,3,0.10955000000000002
4,1,4,0.11314999999999995
4,2,3,0.10900000000000003
4,2,4,0.11414999999999996
4,3,4,0.10959999999999998
5,0,1,0.10485000000000007
5,0,2,0.1161500000000001
5,0,3,0.11734999999999986
5,0,4,0.10400000000000008
5,1,2,0.11150000000000014
5,1,3,0.11660000000000006
5,1,4,0.10694999999999993
5,2,3,0.11240000000000006
5,2,4,0.11400000000000016
5,3,4,0.10700000000000004
6,0,1,0.10535000000000005
6,0,2,0.10090000000000002
6,0,3,0.10309999999999993
6,0,4,0.10255000000000013
6,1,2,0.10124999999999999
6,1,3,0.1053500000000001
6,1,4,0.09700000000000009
6,2,3,0.1030000000000001
6,2,4,0.10410000000000004
6,3,4,0.10225000000000005
7,0,1,0.12169999999999949
7,0,2,0.11209999999999953
7,0,3,0.1156999999999995
7,0,4,0.10944999999999948
7,1,2,0.1110999999999996
7,1,3,0.10724999999999948
7,1,4,0.10774999999999962
7,2,3,0.10519999999999964
7,2,4,0.10609999999999954
7,3,4,0.10764999999999939
8,0,1,0.11194999999999952
8,0,2,0.11119999999999938
8,0,3,0.11274999999999935
8,0,4,0.10964999999999939
8,1,2,0.10729999999999941
8,1,3,0.11099999999999939
8,1,4,0.11099999999999932
8,2,3,0.10954999999999945
8,2,4,0.10689999999999969
8,3,4,0.10954999999999941
9,0,1,0.10909999999999939
9,0,2,0.1138999999999994
9,0,3,0.11639999999999964
9,0,4,0.1176499999999996
9,1,2,0.11514999999999945
9,1,3,0.11839999999999958
9,1,4,0.11964999999999953
9,2,3,0.11089999999999965
9,2,4,0.11104999999999979
9,3,4,0.11464999999999949
10,0,1,0.11735000000000005
10,0,2,0.10670000000000018
10,0,3,0.09905000000000017
10,0,4,0.11085000000000003
10,1,2,0.11145000000000004
10,1,3,0.11405000000000012
10,1,4,0.10330000000000011
10,2,3,0.1060000000000001
10,2,4,0.10835000000000009
10,3,4,0.11125000000000011
11,0,1,0.11149999999999936
11,0,2,0.11709999999999952
11,0,3,0.1118999999999995
11,0,4,0.11174999999999946
11,1,2,0.11374999999999938
11,1,3,0.10264999999999931
11,1,4,0.1114999999999994
11,2,3,0.11149999999999956
11,2,4,0.1092499999999995
11,3,4,0.11309999999999949
12,0,1,0.11819999999999975
12,0,2,0.12049999999999983
12,0,3,0.11439999999999967
12,0,4,0.11959999999999983
12,1,2,0.11899999999999986
12,1,3,0.11734999999999972
12,1,4,0.1189499999999998
12,2,3,0.11664999999999966
12,2,4,0.12099999999999984
12,3,4,0.11764999999999974
13,0,1,0.12599999999999972
13,0,2,0.11594999999999968
13,0,3,0.12509999999999957
13,0,4,0.1211999999999999
13,1,2,0.12639999999999965
13,1,3,0.12089999999999956
13,1,4,0.1264499999999997
13,2,3,0.12184999999999957
13,2,4,0.12384999999999978
13,3,4,0.1203499999999997
14,0,1,0.12304999999999981
14,0,2,0.1214499999999999
14,0,3,0.1166999999999999
14,0,4,0.11784999999999986
14,1,2,0.12059999999999996
14,1,3,0.12109999999999993
14,1,4,0.10924999999999978
14,2,3,0.12119999999999996
14,2,4,0.12010000000000007
14,3,4,0.12240000000000002
15,0,1,0.11444999999999948
15,0,2,0.1172999999999994
15,0,3,0.12439999999999929
15,0,4,0.13229999999999897
15,1,2,0.11169999999999948
15,1,3,0.11314999999999943
15,1,4,0.11814999999999941
15,2,3,0.10659999999999958
15,2,4,0.11014999999999933
15,3,4,0.11179999999999937
16,0,1,0.11524999999999966
16,0,2,0.11114999999999937
16,0,3,0.11164999999999947
16,0,4,0.11514999999999953
16,1,2,0.10804999999999955
16,1,3,0.10539999999999955
16,1,4,0.11429999999999967
16,2,3,0.11054999999999963
16,2,4,0.11254999999999944
16,3,4,0.11204999999999952
17,0,1,0.11999999999999961
17,0,2,0.11814999999999962
17,0,3,0.11499999999999984
17,0,4,0.11959999999999976
17,1,2,0.1199999999999998
17,1,3,0.11864999999999983
17,1,4,0.11985000000000004
17,2,3,0.1226999999999998
17,2,4,0.1202499999999998
17,3,4,0.12439999999999983
18,0,1,0.12029999999999992
18,0,2,0.12774999999999948
18,0,3,0.12074999999999979
18,0,4,0.11549999999999963
18,1,2,0.1268999999999998
18,1,3,0.11989999999999966
18,1,4,0.12284999999999967
18,2,3,0.1279499999999997
18,2,4,0.12594999999999962
18,3,4,0.11949999999999958
19,0,1,0.1079
19,0,2,0.10145000000000011
19,0,3,0.10569999999999996
19,0,4,0.10060000000000002
19,1,2,0.09975
19,1,3,0.10499999999999997
19,1,4,0.10800000000000005
19,2,3,0.10580000000000002
19,2,4,0.10504999999999996
19,3,4,0.10335000000000004
