n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.2656999999999935
0,0,2,0.2664999999999935
0,0,3,0.26619999999999344
0,0,4,0.26809999999999334
0,1,2,0.2724999999999932
0,1,3,0.2665999999999926
0,1,4,0.25989999999999347
0,2,3,0.2773999999999936
0,2,4,0.2708999999999935
0,3,4,0.2740999999999933
1,0,1,0.29469999999999336
1,0,2,0.2893999999999934
1,0,3,0.2974999999999935
1,0,4,0.29099999999999393
1,1,2,0.2936999999999933
1,1,3,0.2859999999999938
1,1,4,0.2916999999999933
1,2,3,0.29409999999999387
1,2,4,0.2884999999999932
1,3,4,0.29349999999999354
2,0,1,0.3083999999999913
2,0,2,0.30489999999999096
2,0,3,0.31289999999999074
2,0,4,0.3013999999999915
2,1,2,0.3146999999999902
2,1,3,0.30879999999999125
2,1,4,0.3065999999999915
2,2,3,0.31109999999999105
2,2,4,0.3088999999999914
2,3,4,0.3092999999999911
3,0,1,0.31659999999998834
3,0,2,0.3084999999999891
3,0,3,0.3079999999999901
3,0,4,0.31559999999998867
3,1,2,0.3154999999999887
3,1,3,0.30819999999998926
3,1,4,0.32079999999998887
3,2,3,0.31079999999998975
3,2,4,0.31449999999998945
3,3,4,0.312199999999989
4,0,1,0.31269999999998904
4,0,2,0.31499999999998907
4,0,3,0.31169999999998865
4,0,4,0.3057999999999894
4,1,2,0.31289999999998913
4,1,3,0.3078999999999887
4,1,4,0.30529999999998986
4,2,3,0.31309999999998894
4,2,4,0.3129999999999894
4,3,4,0.3079999999999892
5,0,1,0.2944999999999899
5,0,2,0.30269999999999014
5,0,3,0.28789999999999105
5,0,4,0.2907999999999907
5,1,2,0.3020999999999902
5,1,3,0.2913999999999904
5,1,4,0.2973999999999897
5,2,3,0.2969999999999901
5,2,4,0.3016999999999902
5,3,4,0.2867999999999905
6,0,1,0.3036999999999911
6,0,2,0.3045999999999907
6,0,3,0.3009999999999908
6,0,4,0.30989999999998996
6,1,2,0.3016999999999909
6,1,3,0.3130999999999899
6,1,4,0.30309999999999077
6,2,3,0.30219999999999037
6,2,4,0.3014999999999905
6,3,4,0.3031999999999912
7,0,1,0.29049999999999065
7,0,2,0.29669999999998997
7,0,3,0.29149999999999004
7,0,4,0.2949999999999904
7,1,2,0.29249999999999016
7,1,3,0.29789999999998973
7,1,4,0.29159999999998965
7,2,3,0.29409999999999004
7,2,4,0.29399999999998927
7,3,4,0.2988999999999899
8,0,1,0.329299999999989
8,0,2,0.3282999999999893
8,0,3,0.32499999999998913
8,0,4,0.3232999999999891
8,1,2,0.333299999999989
8,1,3,0.32629999999998854
8,1,4,0.3264999999999895
8,2,3,0.32519999999998905
8,2,4,0.3314999999999884
8,3,4,0.3237999999999888
9,0,1,0.31339999999999174
9,0,2,0.3145999999999913
9,0,3,0.30039999999999195
9,0,4,0.30269999999999153
9,1,2,0.3042999999999916
9,1,3,0.31269999999999126
9,1,4,0.3124999999999912
9,2,3,0.30119999999999175
9,2,4,0.30069999999999186
9,3,4,0.3105999999999909
