n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.1160000000000002
0,0,2,0.12540000000000015
0,0,3,0.11760000000000013
0,0,4,0.1328000000000001
0,1,2,0.11800000000000029
0,1,3,0.12080000000000025
0,1,4,0.12860000000000016
0,2,3,0.13140000000000004
0,2,4,0.12120000000000022
0,3,4,0.11140000000000026
1,0,1,0.11900000000000015
1,0,2,0.11620000000000011
1,0,3,0.11160000000000014
1,0,4,0.12320000000000014
1,1,2,0.12300000000000019
1,1,3,0.1176000000000002
1,1,4,0.11980000000000011
1,2,3,0.12660000000000013
1,2,4,0.13220000000000007
1,3,4,0.12520000000000012
2,0,1,0.1284000000000001
2,0,2,0.12380000000000019
2,0,3,0.12740000000000015
2,0,4,0.11520000000000023
2,1,2,0.12260000000000013
2,1,3,0.11500000000000019
2,1,4,0.1206000000000002
2,2,3,0.12340000000000018
2,2,4,0.12020000000000018
2,3,4,0.12020000000000008
3,0,1,0.11300000000000006
3,0,2,0.10960000000000009
3,0,3,0.12000000000000008
3,0,4,0.12740000000000012
3,1,2,0.11360000000000003
3,1,3,0.12780000000000002
3,1,4,0.13300000000000006
3,2,3,0.12520000000000003
3,2,4,0.12740000000000004
3,3,4,0.11260000000000009
4,0,1,0.12280000000000015
4,0,2,0.13840000000000025
4,0,3,0.11580000000000014
4,0,4,0.11440000000000015
4,1,2,0.12960000000000016
4,1,3,0.1372000000000001
4,1,4,0.1278000000000001
4,2,3,0.13320000000000007
4,2,4,0.14520000000000008
4,3,4,0.12560000000000013
5,0,1,0.1352000000000001
5,0,2,0.12260000000000021
5,0,3,0.1178000000000001
5,0,4,0.12460000000000021
5,1,2,0.12120000000000017
5,1,3,0.1258
5,1,4,0.12800000000000006
5,2,3,0.10820000000000016
5,2,4,0.12140000000000015
5,3,4,0.1278000000000002
6,0,1,0.13060000000000002
6,0,2,0.12540000000000012
6,0,3,0.12660000000000007
6,0,4,0.13180000000000003
6,1,2,0.13400000000000006
6,1,3,0.1376000000000001
6,1,4,0.1218000000000001
6,2,3,0.14220000000000013
6,2,4,0.1212
6,3,4,0.12680000000000013
7,0,1,0.09940000000000006
7,0,2,0.12000000000000005
7,0,3,0.11820000000000008
7,0,4,0.11380000000000008
7,1,2,0.10740000000000002
7,1,3,0.1086
7,1,4,0.10180000000000004
7,2,3,0.1068
7,2,4,0.10900000000000008
7,3,4,0.10180000000000003
8,0,1,0.15120000000000003
8,0,2,0.13820000000000005
8,0,3,0.12920000000000015
8,0,4,0.14179999999999995
8,1,2,0.1368
8,1,3,0.12600000000000008
8,1,4,0.12120000000000003
8,2,3,0.13240000000000007
8,2,4,0.1382
8,3,4,0.12600000000000006
9,0,1,0.13020000000000012
9,0,2,0.12640000000000004
9,0,3,0.14199999999999993
9,0,4,0.16659999999999986
9,1,2,0.10440000000000023
9,1,3,0.1180000000000002
9,1,4,0.13879999999999992
9,2,3,0.11000000000000029
9,2,4,0.13620000000000004
9,3,4,0.12040000000000016
