n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.23569999999999103
0,0,2,0.24149999999999
0,0,3,0.24239999999998993
0,0,4,0.2415999999999894
0,1,2,0.2371999999999906
0,1,3,0.2352499999999905
0,1,4,0.2384999999999903
0,2,3,0.2353499999999905
0,2,4,0.24224999999999022
0,3,4,0.2369999999999898
1,0,1,0.24114999999999062
1,0,2,0.24389999999999046
1,0,3,0.24079999999999058
1,0,4,0.2385999999999909
1,1,2,0.24279999999999097
1,1,3,0.24184999999999063
1,1,4,0.23804999999999085
1,2,3,0.2438999999999911
1,2,4,0.24364999999999104
1,3,4,0.23889999999999115
2,0,1,0.2334999999999907
2,0,2,0.23599999999999044
2,0,3,0.23169999999999044
2,0,4,0.2375499999999905
2,1,2,0.23999999999999036
2,1,3,0.23379999999999043
2,1,4,0.23854999999999052
2,2,3,0.2342499999999907
2,2,4,0.23524999999999036
2,3,4,0.23629999999998993
3,0,1,0.23929999999998983
3,0,2,0.23634999999998976
3,0,3,0.23909999999998985
3,0,4,0.2386999999999893
3,1,2,0.24239999999999007
3,1,3,0.24319999999998904
3,1,4,0.2384999999999894
3,2,3,0.23864999999998954
3,2,4,0.2329499999999897
3,3,4,0.23324999999998952
4,0,1,0.23789999999999142
4,0,2,0.23629999999999116
4,0,3,0.23639999999999123
4,0,4,0.23774999999999105
4,1,2,0.23654999999999102
4,1,3,0.23724999999999086
4,1,4,0.2343499999999916
4,2,3,0.23384999999999134
4,2,4,0.2387499999999918
4,3,4,0.23604999999999152
5,0,1,0.23704999999998977
5,0,2,0.23524999999999002
5,0,3,0.2428499999999898
5,0,4,0.23879999999999016
5,1,2,0.2367999999999897
5,1,3,0.23794999999998956
5,1,4,0.23674999999998989
5,2,3,0.23864999999999031
5,2,4,0.23919999999998992
5,3,4,0.24109999999998993
6,0,1,0.22904999999998932
6,0,2,0.23559999999998943
6,0,3,0.22514999999998955
6,0,4,0.2326999999999896
6,1,2,0.2350999999999898
6,1,3,0.22914999999998964
