n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.1629999999999999
0,0,2,0.21664999999999995
0,0,3,0.2463999999999999
0,0,4,0.25125
0,1,2,0.23709999999999987
0,1,3,0.21674999999999997
0,1,4,0.21529999999999988
0,2,3,0.1218000000000001
0,2,4,0.12060000000000007
0,3,4,0.06460000000000007
1,0,1,0.06439999999999999
1,0,2,0.06864999999999999
1,0,3,0.22039999999999993
1,0,4,0.22019999999999992
1,1,2,0.08450000000000003
1,1,3,0.23324999999999993
1,1,4,0.23204999999999995
1,2,3,0.20999999999999994
1,2,4,0.20704999999999987
1,3,4,0.064
2,0,1,0.3349999999999998
2,0,2,0.21015
2,0,3,0.3002499999999997
2,0,4,0.2973499999999999
2,1,2,0.34590000000000004
2,1,3,0.15814999999999999
2,1,4,0.16374999999999995
2,2,3,0.2908999999999999
2,2,4,0.2880999999999996
2,3,4,0.07495000000000004
3,0,1,0.1944
3,0,2,0.18769999999999984
3,0,3,0.13045000000000007
3,0,4,0.20269999999999996
3,1,2,0.08805000000000007
3,1,3,0.25289999999999985
3,1,4,0.20214999999999989
3,2,3,0.2327499999999998
3,2,4,0.17249999999999993
3,3,4,0.16155000000000003
4,0,1,0.33260000000000006
4,0,2,0.3463999999999998
4,0,3,0.34144999999999964
4,0,4,0.33304999999999974
4,1,2,0.17989999999999995
4,1,3,0.094
4,1,4,0.17354999999999993
4,2,3,0.16664999999999985
4,2,4,0.06840000000000002
4,3,4,0.16689999999999988
5,0,1,0.32694999999999996
5,0,2,0.22354999999999994
5,0,3,0.14085000000000006
5,0,4,0.06900000000000003
5,1,2,0.3499499999999999
5,1,3,0.29089999999999994
5,1,4,0.33019999999999994
5,2,3,0.22515000000000007
5,2,4,0.22655
5,3,4,0.13749999999999993
6,0,1,0.3411999999999995
6,0,2,0.3465999999999997
6,0,3,0.35114999999999974
6,0,4,0.32159999999999944
6,1,2,0.38469999999999965
6,1,3,0.06845
6,1,4,0.19404999999999978
6,2,3,0.38124999999999964
6,2,4,0.37384999999999924
6,3,4,0.21159999999999976
7,0,1,0.21564999999999981
7,0,2,0.3058999999999998
7,0,3,0.07900000000000001
7,0,4,0.21024999999999983
7,1,2,0.2968499999999996
7,1,3,0.21384999999999993
7,1,4,0.07470000000000006
7,2,3,0.3085499999999997
7,2,4,0.27934999999999977
7,3,4,0.21384999999999976
8,0,1,0.0667
8,0,2,0.06014999999999999
8,0,3,0.21104999999999974
8,0,4,0.21344999999999967
8,1,2,0.0608
8,1,3,0.21854999999999986
8,1,4,0.21844999999999998
8,2,3,0.21509999999999962
8,2,4,0.21724999999999997
8,3,4,0.06519999999999997
9,0,1,0.21069999999999986
9,0,2,0.1448999999999999
9,0,3,0.15224999999999989
9,0,4,0.14624999999999988
9,1,2,0.1559499999999998
9,1,3,0.1505499999999998
9,1,4,0.1559499999999998
9,2,3,0.17294999999999974
9,2,4,0.05185000000000003
9,3,4,0.1745999999999999
