n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.06550000000000002
0,0,2,0.06650000000000002
0,0,3,0.06010000000000002
0,0,4,0.06770000000000004
0,1,2,0.06785000000000002
0,1,3,0.06370000000000002
0,1,4,0.06265000000000001
0,2,3,0.06544999999999997
0,2,4,0.06624999999999999
0,3,4,0.06110000000000007
1,0,1,0.062499999999999986
1,0,2,0.06705000000000003
1,0,3,0.06520000000000001
1,0,4,0.056300000000000044
1,1,2,0.06620000000000004
1,1,3,0.06659999999999998
1,1,4,0.06040000000000001
1,2,3,0.061550000000000014
1,2,4,0.060549999999999965
1,3,4,0.06030000000000003
2,0,1,0.06345000000000003
2,0,2,0.06680000000000001
2,0,3,0.06430000000000002
2,0,4,0.06690000000000002
2,1,2,0.06024999999999999
2,1,3,0.06390000000000004
2,1,4,0.060100000000000015
2,2,3,0.06744999999999998
2,2,4,0.06725
2,3,4,0.06370000000000002
3,0,1,0.06090000000000001
3,0,2,0.06584999999999999
3,0,3,0.06309999999999998
3,0,4,0.06440000000000003
3,1,2,0.06874999999999998
3,1,3,0.06785000000000001
3,1,4,0.06285000000000003
3,2,3,0.06800000000000005
3,2,4,0.06235
3,3,4,0.05735000000000001
4,0,1,0.06800000000000003
4,0,2,0.06110000000000002
4,0,3,0.06910000000000001
4,0,4,0.06020000000000003
4,1,2,0.06989999999999999
4,1,3,0.06815
4,1,4,0.06485000000000002
4,2,3,0.06885
4,2,4,0.05570000000000003
4,3,4,0.06110000000000001
5,0,1,0.06109999999999999
5,0,2,0.06794999999999998
5,0,3,0.05985000000000001
5,0,4,0.06420000000000002
5,1,2,0.060899999999999996
5,1,3,0.06445
5,1,4,0.06444999999999997
5,2,3,0.062250000000000034
5,2,4,0.06629999999999998
5,3,4,0.05835000000000004
6,0,1,0.07065000000000003
6,0,2,0.07055
6,0,3,0.06315000000000007
6,0,4,0.06969999999999998
6,1,2,0.06400000000000004
6,1,3,0.06345000000000002
6,1,4,0.071
6,2,3,0.06840000000000002
6,2,4,0.06245000000000001
6,3,4,0.06480000000000001
7,0,1,0.06534999999999999
7,0,2,0.06915000000000002
7,0,3,0.061249999999999985
7,0,4,0.05999999999999997
7,1,2,0.0686
7,1,3,0.06365000000000003
7,1,4,0.058649999999999994
7,2,3,0.06760000000000004
7,2,4,0.061399999999999955
7,3,4,0.06149999999999999
8,0,1,0.06605000000000005
8,0,2,0.06235000000000007
8,0,3,0.06299999999999999
8,0,4,0.0631
8,1,2,0.06764999999999997
8,1,3,0.06870000000000005
8,1,4,0.06764999999999999
8,2,3,0.06355000000000001
8,2,4,0.061900000000000024
8,3,4,0.06025
9,0,1,0.0562
9,0,2,0.06710000000000003
9,0,3,0.06130000000000003
9,0,4,0.06300000000000003
9,1,2,0.06334999999999998
9,1,3,0.053550000000000014
9,1,4,0.059749999999999984
9,2,3,0.06124999999999998
9,2,4,0.06475000000000004
9,3,4,0.061900000000000004
