n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.12964999999999974
0,0,2,0.11979999999999982
0,0,3,0.12979999999999964
0,0,4,0.11934999999999961
0,1,2,0.13034999999999958
0,1,3,0.11889999999999964
0,1,4,0.1264499999999997
0,2,3,0.12604999999999983
0,2,4,0.11694999999999965
0,3,4,0.12344999999999988
1,0,1,0.11389999999999967
1,0,2,0.11809999999999966
1,0,3,0.10429999999999956
1,0,4,0.11404999999999972
1,1,2,0.10984999999999968
1,1,3,0.1218499999999995
1,1,4,0.10609999999999972
1,2,3,0.12954999999999953
1,2,4,0.11524999999999982
1,3,4,0.11984999999999948
2,0,1,0.11994999999999986
2,0,2,0.10754999999999985
2,0,3,0.11359999999999972
2,0,4,0.11014999999999987
2,1,2,0.12079999999999995
2,1,3,0.10574999999999969
2,1,4,0.12254999999999988
2,2,3,0.11439999999999993
2,2,4,0.11399999999999987
2,3,4,0.1130499999999997
3,0,1,0.10034999999999956
3,0,2,0.11024999999999963
3,0,3,0.10629999999999949
3,0,4,0.1010499999999996
3,1,2,0.10049999999999953
3,1,3,0.10484999999999958
3,1,4,0.10149999999999952
3,2,3,0.09539999999999951
3,2,4,0.10324999999999948
3,3,4,0.10379999999999959
4,0,1,0.1060999999999998
4,0,2,0.10584999999999965
4,0,3,0.10729999999999972
4,0,4,0.10279999999999985
4,1,2,0.11569999999999968
4,1,3,0.10339999999999978
4,1,4,0.11379999999999971
4,2,3,0.11099999999999971
4,2,4,0.09974999999999966
4,3,4,0.1174999999999999
5,0,1,0.11434999999999966
5,0,2,0.12184999999999965
5,0,3,0.12024999999999972
5,0,4,0.11114999999999953
5,1,2,0.11894999999999971
5,1,3,0.11359999999999973
5,1,4,0.11244999999999954
5,2,3,0.10934999999999949
5,2,4,0.11599999999999944
5,3,4,0.11554999999999957
6,0,1,0.10854999999999956
6,0,2,0.10634999999999965
6,0,3,0.09974999999999963
6,0,4,0.10764999999999973
6,1,2,0.10599999999999951
6,1,3,0.10989999999999955
6,1,4,0.10454999999999955
6,2,3,0.09784999999999971
6,2,4,0.09914999999999949
6,3,4,0.10424999999999986
7,0,1,0.11549999999999985
7,0,2,0.11259999999999981
7,0,3,0.11104999999999973
7,0,4,0.11424999999999966
7,1,2,0.11864999999999984
7,1,3,0.12254999999999978
7,1,4,0.12154999999999974
7,2,3,0.11689999999999971
7,2,4,0.1122999999999996
7,3,4,0.12344999999999999
8,0,1,0.11029999999999975
8,0,2,0.10744999999999963
8,0,3,0.11554999999999971
8,0,4,0.1019999999999997
8,1,2,0.10749999999999979
8,1,3,0.10579999999999985
8,1,4,0.10329999999999984
8,2,3,0.11759999999999976
8,2,4,0.10414999999999972
8,3,4,0.11309999999999973
9,0,1,0.10629999999999978
9,0,2,0.10774999999999976
9,0,3,0.11019999999999962
9,0,4,0.1059499999999998
9,1,2,0.10709999999999957
9,1,3,0.10794999999999966
9,1,4,0.11369999999999976
9,2,3,0.10854999999999967
9,2,4,0.10679999999999974
9,3,4,0.10484999999999979
