n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.12554999999999988
0,0,2,0.11579999999999963
0,0,3,0.10534999999999961
0,0,4,0.12189999999999969
0,1,2,0.11829999999999986
0,1,3,0.11824999999999983
0,1,4,0.10129999999999974
0,2,3,0.1091499999999997
0,2,4,0.10924999999999958
0,3,4,0.11659999999999951
1,0,1,0.11234999999999976
1,0,2,0.10399999999999988
1,0,3,0.10969999999999967
1,0,4,0.1074999999999999
1,1,2,0.10884999999999966
1,1,3,0.10054999999999967
1,1,4,0.1037499999999998
1,2,3,0.10619999999999985
1,2,4,0.10549999999999966
1,3,4,0.10194999999999979
2,0,1,0.11924999999999955
2,0,2,0.12939999999999954
2,0,3,0.1210999999999995
2,0,4,0.1121499999999994
2,1,2,0.12429999999999977
2,1,3,0.11874999999999966
2,1,4,0.1233499999999998
2,2,3,0.12164999999999979
2,2,4,0.12524999999999983
2,3,4,0.1264999999999995
3,0,1,0.1359999999999995
3,0,2,0.13664999999999944
3,0,3,0.11209999999999962
3,0,4,0.10229999999999971
3,1,2,0.10779999999999956
3,1,3,0.1357499999999992
3,1,4,0.12434999999999966
3,2,3,0.14479999999999912
3,2,4,0.13774999999999943
3,3,4,0.10539999999999948
4,0,1,0.11454999999999975
4,0,2,0.11149999999999972
4,0,3,0.11114999999999967
4,0,4,0.11404999999999961
4,1,2,0.11064999999999978
4,1,3,0.10819999999999971
4,1,4,0.11714999999999984
4,2,3,0.10804999999999977
4,2,4,0.10944999999999981
4,3,4,0.10939999999999975
5,0,1,0.1263999999999997
5,0,2,0.10884999999999966
5,0,3,0.10579999999999963
5,0,4,0.1262499999999997
5,1,2,0.12904999999999947
5,1,3,0.1235999999999997
5,1,4,0.10824999999999961
5,2,3,0.10779999999999967
5,2,4,0.12339999999999969
5,3,4,0.11499999999999971
6,0,1,0.10409999999999951
6,0,2,0.12004999999999949
6,0,3,0.12049999999999958
6,0,4,0.10754999999999962
6,1,2,0.1105499999999996
6,1,3,0.11629999999999974
6,1,4,0.11089999999999946
6,2,3,0.11184999999999956
6,2,4,0.10999999999999953
6,3,4,0.11154999999999961
7,0,1,0.12184999999999963
7,0,2,0.11029999999999945
7,0,3,0.12484999999999957
7,0,4,0.1114499999999995
7,1,2,0.11119999999999969
7,1,3,0.09794999999999959
7,1,4,0.11529999999999957
7,2,3,0.11344999999999972
7,2,4,0.10164999999999957
7,3,4,0.10829999999999947
8,0,1,0.10854999999999962
8,0,2,0.11334999999999962
8,0,3,0.11089999999999964
8,0,4,0.10814999999999951
8,1,2,0.11264999999999943
8,1,3,0.10664999999999951
8,1,4,0.1160999999999996
8,2,3,0.1103999999999995
8,2,4,0.10434999999999953
8,3,4,0.10194999999999955
9,0,1,0.13134999999999958
9,0,2,0.10839999999999947
9,0,3,0.12914999999999963
9,0,4,0.10699999999999958
9,1,2,0.1277999999999996
9,1,3,0.10209999999999983
9,1,4,0.13884999999999942
9,2,3,0.1234499999999996
