n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.1196499999999998
0,0,2,0.1354499999999995
0,0,3,0.13284999999999964
0,0,4,0.1185499999999996
0,1,2,0.11924999999999965
0,1,3,0.12714999999999943
0,1,4,0.12019999999999967
0,2,3,0.10779999999999984
0,2,4,0.1268999999999996
0,3,4,0.1272999999999997
1,0,1,0.11904999999999974
1,0,2,0.13389999999999924
1,0,3,0.11914999999999973
1,0,4,0.12109999999999982
1,1,2,0.12474999999999971
1,1,3,0.11914999999999976
1,1,4,0.11524999999999976
1,2,3,0.12169999999999971
1,2,4,0.12034999999999967
1,3,4,0.12304999999999959
2,0,1,0.11824999999999987
2,0,2,0.12009999999999987
2,0,3,0.11369999999999975
2,0,4,0.11404999999999983
2,1,2,0.12154999999999985
2,1,3,0.1261999999999998
2,1,4,0.11249999999999973
2,2,3,0.11199999999999985
2,2,4,0.12194999999999986
2,3,4,0.12034999999999971
3,0,1,0.09504999999999961
3,0,2,0.0948999999999997
3,0,3,0.09449999999999965
3,0,4,0.09844999999999968
3,1,2,0.0935999999999998
3,1,3,0.09704999999999962
3,1,4,0.09484999999999964
3,2,3,0.09184999999999972
3,2,4,0.09664999999999961
3,3,4,0.09694999999999969
4,0,1,0.10614999999999958
4,0,2,0.09979999999999982
4,0,3,0.10054999999999967
4,0,4,0.11544999999999979
4,1,2,0.09919999999999973
4,1,3,0.09859999999999966
4,1,4,0.10144999999999973
4,2,3,0.10079999999999975
4,2,4,0.10594999999999977
4,3,4,0.10849999999999962
5,0,1,0.10419999999999977
5,0,2,0.10999999999999957
5,0,3,0.1260999999999997
5,0,4,0.12804999999999966
5,1,2,0.10439999999999947
5,1,3,0.1235999999999996
5,1,4,0.12054999999999971
5,2,3,0.10869999999999962
5,2,4,0.11284999999999985
5,3,4,0.10179999999999967
6,0,1,0.11384999999999973
6,0,2,0.11959999999999973
6,0,3,0.1174999999999998
6,0,4,0.11859999999999968
6,1,2,0.11749999999999956
6,1,3,0.1194499999999996
6,1,4,0.12139999999999984
6,2,3,0.11619999999999976
6,2,4,0.12349999999999973
6,3,4,0.12409999999999966
7,0,1,0.1174499999999998
7,0,2,0.11104999999999986
7,0,3,0.11469999999999966
7,0,4,0.11494999999999969
7,1,2,0.1120999999999997
7,1,3,0.11269999999999965
7,1,4,0.10934999999999967
7,2,3,0.10824999999999972
7,2,4,0.10829999999999976
7,3,4,0.11179999999999972
8,0,1,0.11429999999999957
8,0,2,0.10754999999999958
8,0,3,0.10459999999999982
8,0,4,0.1049999999999996
8,1,2,0.11514999999999956
8,1,3,0.11009999999999971
8,1,4,0.1102499999999996
8,2,3,0.10649999999999961
8,2,4,0.10879999999999956
8,3,4,0.10389999999999981
9,0,1,0.11214999999999983
9,0,2,0.11459999999999956
9,0,3,0.11039999999999973
9,0,4,0.12084999999999968
9,1,2,0.10639999999999965
9,1,3,0.11074999999999971
9,1,4,0.10524999999999982
9,2,3,0.10734999999999957
9,2,4,0.1125499999999997
9,3,4,0.11969999999999976
10,0,1,0.1205999999999998
10,0,2,0.11624999999999978
10,0,3,0.12034999999999985
10,0,4,0.11189999999999972
10,1,2,0.11944999999999974
10,1,3,0.11584999999999973
10,1,4,0.11874999999999976
10,2,3,0.12389999999999975
10,2,4,0.11634999999999973
10,3,4,0.12694999999999995
11,0,1,0.12049999999999966
11,0,2,0.12434999999999977
11,0,3,0.11709999999999966
11,0,4,0.12069999999999977
11,1,2,0.11899999999999966
11,1,3,0.11529999999999953
11,1,4,0.12084999999999967
11,2,3,0.11444999999999968
11,2,4,0.12444999999999973
11,3,4,0.1166999999999997
12,0,1,0.10759999999999978
12,0,2,0.10924999999999965
12,0,3,0.10999999999999963
12,0,4,0.11244999999999968
12,1,2,0.11149999999999984
12,1,3,0.11119999999999983
12,1,4,0.11419999999999979
12,2,3,0.10709999999999967
12,2,4,0.11019999999999985
12,3,4,0.10959999999999995
13,0,1,0.10379999999999953
13,0,2,0.10974999999999961
13,0,3,0.10799999999999975
13,0,4,0.10809999999999959
13,1,2,0.10784999999999959
13,1,3,0.1054999999999996
13,1,4,0.10434999999999976
13,2,3,0.1038499999999996
13,2,4,0.09849999999999963
13,3,4,0.10269999999999962
14,0,1,0.10879999999999994
14,0,2,0.11474999999999991
14,0,3,0.1160499999999998
14,0,4,0.11889999999999985
14,1,2,0.11559999999999981
14,1,3,0.1174499999999999
14,1,4,0.11549999999999973
14,2,3,0.1103499999999996
14,2,4,0.11339999999999986
14,3,4,0.11249999999999989
15,0,1,0.11844999999999965
15,0,2,0.11589999999999978
15,0,3,0.11864999999999964
15,0,4,0.11989999999999973
15,1,2,0.11219999999999976
15,1,3,0.1107499999999997
15,1,4,0.1157499999999996
15,2,3,0.1107999999999997
15,2,4,0.11409999999999974
15,3,4,0.11614999999999977
16,0,1,0.1257499999999998
16,0,2,0.1316499999999999
16,0,3,0.13624999999999976
16,0,4,0.14564999999999967
16,1,2,0.12354999999999995
16,1,3,0.12844999999999956
16,1,4,0.13684999999999972
16,2,3,0.12934999999999983
16,2,4,0.13634999999999964
16,3,4,0.12359999999999971
17,0,1,0.11654999999999982
17,0,2,0.10519999999999972
17,0,3,0.10999999999999975
17,0,4,0.1063999999999998
17,1,2,0.11219999999999992
17,1,3,0.11129999999999973
17,1,4,0.10629999999999983
17,2,3,0.1021999999999998
17,2,4,0.10684999999999988
17,3,4,0.10809999999999988
18,0,1,0.11079999999999961
18,0,2,0.10859999999999943
18,0,3,0.11444999999999954
18,0,4,0.11249999999999948
18,1,2,0.10869999999999952
18,1,3,0.10944999999999958
18,1,4,0.1136999999999996
18,2,3,0.12319999999999973
18,2,4,0.10504999999999948
18,3,4,0.12439999999999955
19,0,1,0.1166499999999996
19,0,2,0.1053499999999996
19,0,3,0.1212999999999996
19,0,4,0.11554999999999967
19,1,2,0.11624999999999976
19,1,3,0.11199999999999967
19,1,4,0.11729999999999954
19,2,3,0.10304999999999968
19,2,4,0.0997499999999997
19,3,4,0.10704999999999956
