n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.19219999999999907
0,0,2,0.18959999999999919
0,0,3,0.1855999999999996
0,0,4,0.1977999999999991
0,1,2,0.1865999999999993
0,1,3,0.17659999999999948
0,1,4,0.19699999999999898
0,2,3,0.18279999999999927
0,2,4,0.1925999999999992
0,3,4,0.18379999999999946
1,0,1,0.16760000000000055
1,0,2,0.16680000000000025
1,0,3,0.17240000000000058
1,0,4,0.16940000000000047
1,1,2,0.17400000000000043
1,1,3,0.16980000000000056
1,1,4,0.16600000000000034
1,2,3,0.16660000000000047
1,2,4,0.17200000000000032
1,3,4,0.16360000000000058
2,0,1,0.16739999999999974
2,0,2,0.17439999999999947
2,0,3,0.16699999999999973
2,0,4,0.17319999999999955
2,1,2,0.16379999999999964
2,1,3,0.1631999999999995
2,1,4,0.1653999999999995
2,2,3,0.16799999999999926
2,2,4,0.17559999999999917
2,3,4,0.1725999999999994
3,0,1,0.2086000000000003
3,0,2,0.21559999999999993
3,0,3,0.21380000000000027
3,0,4,0.22180000000000027
3,1,2,0.21600000000000033
3,1,3,0.21020000000000025
3,1,4,0.21780000000000035
3,2,3,0.21640000000000004
3,2,4,0.22900000000000037
3,3,4,0.2248000000000004
4,0,1,0.19299999999999967
4,0,2,0.18719999999999973
4,0,3,0.1915999999999999
4,0,4,0.1891999999999999
4,1,2,0.1921999999999998
4,1,3,0.1925999999999997
4,1,4,0.19079999999999983
4,2,3,0.19999999999999982
4,2,4,0.18999999999999995
4,3,4,0.19439999999999977
5,0,1,0.17520000000000024
5,0,2,0.1777999999999997
5,0,3,0.17799999999999971
5,0,4,0.17599999999999993
5,1,2,0.1791999999999995
5,1,3,0.16660000000000028
5,1,4,0.1807999999999995
5,2,3,0.17699999999999963
5,2,4,0.1664
5,3,4,0.18199999999999955
6,0,1,0.17319999999999958
6,0,2,0.1801999999999996
6,0,3,0.1721999999999993
6,0,4,0.18759999999999968
6,1,2,0.19039999999999954
6,1,3,0.17699999999999969
6,1,4,0.17539999999999928
6,2,3,0.17939999999999945
6,2,4,0.1943999999999993
6,3,4,0.16919999999999932
7,0,1,0.21479999999999938
7,0,2,0.21459999999999954
7,0,3,0.21099999999999933
7,0,4,0.2055999999999995
7,1,2,0.20919999999999955
7,1,3,0.21039999999999942
7,1,4,0.21719999999999937
7,2,3,0.22139999999999938
7,2,4,0.2029999999999995
7,3,4,0.20899999999999958
8,0,1,0.1991999999999992
8,0,2,0.2021999999999993
8,0,3,0.2023999999999994
8,0,4,0.2045999999999995
8,1,2,0.21579999999999971
8,1,3,0.20879999999999965
8,1,4,0.21099999999999952
8,2,3,0.1979999999999994
8,2,4,0.2017999999999996
8,3,4,0.19359999999999972
9,0,1,0.21939999999999918
9,0,2,0.204799999999999
9,0,3,0.2191999999999989
9,0,4,0.21079999999999907
9,1,2,0.21199999999999875
9,1,3,0.2027999999999989
9,1,4,0.20719999999999902
9,2,3,0.20459999999999903
9,2,4,0.208999999999999
9,3,4,0.21179999999999907
