n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.2562999999999929
0,0,2,0.2525999999999937
0,0,3,0.2527999999999931
0,0,4,0.26129999999999287
0,0,5,0.2539999999999937
0,0,6,0.2569999999999931
0,0,7,0.2615999999999929
0,0,8,0.25979999999999315
0,0,9,0.25329999999999314
0,1,2,0.2556999999999934
0,1,3,0.24549999999999342
0,1,4,0.2504999999999936
0,1,5,0.24819999999999376
0,1,6,0.24929999999999383
0,1,7,0.2548999999999935
0,1,8,0.2656999999999924
0,1,9,0.25409999999999316
0,2,3,0.24679999999999375
0,2,4,0.250499999999994
0,2,5,0.25649999999999384
0,2,6,0.2519999999999939
0,2,7,0.2586999999999934
0,2,8,0.2618999999999926
0,2,9,0.25049999999999417
0,3,4,0.25779999999999337
0,3,5,0.25749999999999335
0,3,6,0.25199999999999395
0,3,7,0.253899999999993
0,3,8,0.24609999999999352
0,3,9,0.2552999999999931
0,4,5,0.2578999999999935
0,4,6,0.2570999999999938
0,4,7,0.25289999999999374
0,4,8,0.25719999999999316
0,4,9,0.2594999999999931
0,5,6,0.2538999999999937
0,5,7,0.2594999999999931
0,5,8,0.2579999999999931
0,5,9,0.2547999999999933
0,6,7,0.2573999999999937
0,6,8,0.2602999999999936
0,6,9,0.25209999999999405
0,7,8,0.2598999999999929
0,7,9,0.26009999999999317
0,8,9,0.261499999999993
1,0,1,0.24099999999999483
1,0,2,0.25319999999999526
1,0,3,0.25029999999999486
1,0,4,0.2464999999999946
1,0,5,0.248699999999995
1,0,6,0.2550999999999948
1,0,7,0.25479999999999503
1,0,8,0.25029999999999514
1,0,9,0.2456999999999948
1,1,2,0.2480999999999948
1,1,3,0.23659999999999523
1,1,4,0.2397999999999951
1,1,5,0.2359999999999948
1,1,6,0.24109999999999496
1,1,7,0.24349999999999522
1,1,8,0.23609999999999529
1,1,9,0.24449999999999508
1,2,3,0.2459999999999949
1,2,4,0.2532999999999949
1,2,5,0.2454999999999954
1,2,6,0.25159999999999494
1,2,7,0.23639999999999572
1,2,8,0.2483999999999952
1,2,9,0.2572999999999947
1,3,4,0.2444999999999953
1,3,5,0.24179999999999516
1,3,6,0.24279999999999488
1,3,7,0.243799999999995
1,3,8,0.244099999999995
1,3,9,0.24489999999999532
1,4,5,0.2399999999999953
1,4,6,0.2445999999999953
1,4,7,0.2507999999999952
1,4,8,0.24119999999999533
1,4,9,0.24239999999999515
1,5,6,0.24599999999999492
1,5,7,0.241599999999995
1,5,8,0.24239999999999448
1,5,9,0.24369999999999492
1,6,7,0.24849999999999522
1,6,8,0.24229999999999505
1,6,9,0.25119999999999515
1,7,8,0.24269999999999609
1,7,9,0.246699999999995
1,8,9,0.24769999999999465
2,0,1,0.25789999999999474
2,0,2,0.25889999999999497
2,0,3,0.254599999999995
2,0,4,0.25579999999999464
2,0,5,0.2568999999999944
2,0,6,0.251599999999995
2,0,7,0.2544999999999948
2,0,8,0.25429999999999536
2,0,9,0.24959999999999494
2,1,2,0.2574999999999944
2,1,3,0.25159999999999527
2,1,4,0.2520999999999946
2,1,5,0.2567999999999945
2,1,6,0.26089999999999447
2,1,7,0.25079999999999497
2,1,8,0.2562999999999946
2,1,9,0.2574999999999951
2,2,3,0.2516999999999951
2,2,4,0.26209999999999484
2,2,5,0.25359999999999433
2,2,6,0.25659999999999483
2,2,7,0.2585999999999951
2,2,8,0.2538999999999946
2,2,9,0.2539999999999949
2,3,4,0.24839999999999537
2,3,5,0.25659999999999467
2,3,6,0.25339999999999513
2,3,7,0.25629999999999453
2,3,8,0.2612999999999947
2,3,9,0.2515999999999951
2,4,5,0.2635999999999948
2,4,6,0.2583999999999947
2,4,7,0.25489999999999474
2,4,8,0.2603999999999947
2,4,9,0.25679999999999487
2,5,6,0.25679999999999503
2,5,7,0.25449999999999473
2,5,8,0.25939999999999497
2,5,9,0.2581999999999947
2,6,7,0.2557999999999946
2,6,8,0.2538999999999951
2,6,9,0.25529999999999475
2,7,8,0.25049999999999534
2,7,9,0.25629999999999464
2,8,9,0.25849999999999485
3,0,1,0.3005999999999905
3,0,2,0.3038999999999905
3,0,3,0.3020999999999909
3,0,4,0.3037999999999907
3,0,5,0.29279999999999073
3,0,6,0.30369999999999053
3,0,7,0.29679999999999074
3,0,8,0.30829999999999064
3,0,9,0.30069999999999053
3,1,2,0.2937999999999913
3,1,3,0.29979999999999085
3,1,4,0.29319999999999186
3,1,5,0.29199999999999143
3,1,6,0.3024999999999909
3,1,7,0.29499999999999105
3,1,8,0.30379999999999074
3,1,9,0.30169999999999136
3,2,3,0.2967999999999908
3,2,4,0.3018999999999905
3,2,5,0.29569999999999075
3,2,6,0.3053999999999901
3,2,7,0.3038999999999913
3,2,8,0.3057999999999916
3,2,9,0.30169999999999125
3,3,4,0.30079999999999146
3,3,5,0.2952999999999913
3,3,6,0.3029999999999906
3,3,7,0.30269999999999153
3,3,8,0.2966999999999908
3,3,9,0.3057999999999913
3,4,5,0.29259999999999114
3,4,6,0.30349999999999056
3,4,7,0.2933999999999916
3,4,8,0.30299999999999083
3,4,9,0.30849999999999067
3,5,6,0.29319999999999186
3,5,7,0.29889999999999134
3,5,8,0.297699999999991
3,5,9,0.29829999999999146
3,6,7,0.3063999999999904
3,6,8,0.3059999999999917
3,6,9,0.3088999999999909
3,7,8,0.30349999999999056
3,7,9,0.3028999999999904
3,8,9,0.30869999999999076
4,0,1,0.2683999999999931
4,0,2,0.2651999999999936
4,0,3,0.26929999999999304
4,0,4,0.26919999999999283
4,0,5,0.2667999999999931
4,0,6,0.26699999999999413
4,0,7,0.26899999999999313
4,0,8,0.2678999999999929
4,0,9,0.26029999999999365
4,1,2,0.2720999999999929
4,1,3,0.2639999999999933
4,1,4,0.26379999999999304
4,1,5,0.2646999999999934
4,1,6,0.26559999999999395
4,1,7,0.2633999999999935
4,1,8,0.27049999999999313
4,1,9,0.267499999999993
4,2,3,0.2670999999999926
4,2,4,0.27409999999999307
4,2,5,0.2724999999999929
4,2,6,0.26569999999999355
4,2,7,0.2685999999999928
4,2,8,0.279299999999993
4,2,9,0.2754999999999927
4,3,4,0.27689999999999204
4,3,5,0.2714999999999926
4,3,6,0.2595999999999933
4,3,7,0.26809999999999284
4,3,8,0.26949999999999263
4,3,9,0.271699999999993
4,4,5,0.2613999999999933
4,4,6,0.2688999999999938
4,4,7,0.26789999999999276
4,4,8,0.27159999999999335
4,4,9,0.26649999999999335
4,5,6,0.2658999999999936
4,5,7,0.2659999999999929
4,5,8,0.2686999999999927
4,5,9,0.2643999999999933
4,6,7,0.2604999999999934
4,6,8,0.26289999999999336
4,6,9,0.2662999999999933
4,7,8,0.2674999999999922
4,7,9,0.2678999999999929
4,8,9,0.2665999999999932
5,0,1,0.2623999999999928
5,0,2,0.2497999999999938
5,0,3,0.252599999999994
5,0,4,0.2588999999999933
5,0,5,0.265099999999993
5,0,6,0.2599999999999933
5,0,7,0.25729999999999326
5,0,8,0.2579999999999939
5,0,9,0.25149999999999395
5,1,2,0.24679999999999397
5,1,3,0.24779999999999444
5,1,4,0.2560999999999933
5,1,5,0.2582999999999937
5,1,6,0.25299999999999395
5,1,7,0.24649999999999364
5,1,8,0.2489999999999942
5,1,9,0.2500999999999943
5,2,3,0.2483999999999939
5,2,4,0.24649999999999384
5,2,5,0.25589999999999374
5,2,6,0.25229999999999403
5,2,7,0.2522999999999937
5,2,8,0.24939999999999424
5,2,9,0.241399999999994
5,3,4,0.2535999999999936
5,3,5,0.2541999999999935
5,3,6,0.2564999999999938
5,3,7,0.2524999999999937
5,3,8,0.24969999999999407
5,3,9,0.24579999999999405
5,4,5,0.2586999999999933
5,4,6,0.25439999999999396
5,4,7,0.2572999999999933
5,4,8,0.25549999999999334
5,4,9,0.2526999999999941
5,5,6,0.25959999999999317
5,5,7,0.2576999999999936
5,5,8,0.25649999999999373
5,5,9,0.2548999999999934
5,6,7,0.253699999999994
5,6,8,0.25529999999999364
5,6,9,0.2497999999999937
5,7,8,0.25599999999999346
5,7,9,0.24719999999999398
5,8,9,0.24469999999999403
6,0,1,0.2607999999999922
6,0,2,0.26179999999999193
6,0,3,0.2622999999999917
6,0,4,0.26329999999999226
6,0,5,0.2687999999999922
6,0,6,0.26429999999999193
6,0,7,0.2604999999999925
6,0,8,0.2682999999999916
6,0,9,0.26969999999999167
6,1,2,0.26129999999999226
6,1,3,0.2596999999999924
6,1,4,0.2598999999999921
6,1,5,0.2664999999999919
6,1,6,0.26429999999999215
6,1,7,0.2647999999999921
6,1,8,0.2576999999999926
6,1,9,0.2617999999999926
6,2,3,0.2606999999999922
6,2,4,0.25669999999999255
6,2,5,0.265099999999992
6,2,6,0.26239999999999236
6,2,7,0.26229999999999204
6,2,8,0.26839999999999187
6,2,9,0.2641999999999922
6,3,4,0.2603999999999921
6,3,5,0.26869999999999195
6,3,6,0.2602999999999925
6,3,7,0.26619999999999155
6,3,8,0.26259999999999234
6,3,9,0.26379999999999215
6,4,5,0.25969999999999244
6,4,6,0.2633999999999922
6,4,7,0.25979999999999226
6,4,8,0.25919999999999244
6,4,9,0.2622999999999925
6,5,6,0.26549999999999235
6,5,7,0.26019999999999244
6,5,8,0.26729999999999227
6,5,9,0.263199999999992
6,6,7,0.25909999999999284
6,6,8,0.26589999999999236
6,6,9,0.2609999999999925
6,7,8,0.261399999999992
6,7,9,0.2600999999999928
6,8,9,0.2647999999999922
7,0,1,0.2858999999999903
7,0,2,0.2839999999999903
7,0,3,0.28489999999999077
7,0,4,0.2794999999999903
7,0,5,0.2814999999999906
7,0,6,0.2881999999999901
7,0,7,0.28659999999999025
7,0,8,0.2910999999999899
7,0,9,0.2850999999999905
7,1,2,0.2777999999999907
7,1,3,0.2721999999999909
7,1,4,0.28339999999999077
7,1,5,0.28559999999999025
7,1,6,0.2849999999999897
7,1,7,0.28849999999999004
7,1,8,0.2814999999999905
7,1,9,0.28559999999999036
7,2,3,0.28549999999999043
7,2,4,0.2811999999999912
7,2,5,0.2832999999999907
7,2,6,0.29089999999998967
7,2,7,0.2840999999999902
7,2,8,0.2837999999999903
7,2,9,0.2858999999999909
7,3,4,0.27539999999999126
7,3,5,0.2818999999999902
7,3,6,0.2859999999999902
7,3,7,0.27519999999999106
7,3,8,0.28599999999999054
7,3,9,0.27629999999999116
7,4,5,0.2812999999999907
7,4,6,0.28499999999999037
7,4,7,0.2756999999999913
7,4,8,0.2828999999999906
7,4,9,0.27639999999999054
7,5,6,0.28699999999999054
7,5,7,0.2788999999999912
7,5,8,0.2828999999999907
7,5,9,0.28869999999999046
7,6,7,0.2825999999999905
7,6,8,0.2820999999999909
7,6,9,0.28539999999998994
7,7,8,0.2770999999999908
7,7,9,0.27459999999999135
7,8,9,0.28129999999999067
8,0,1,0.26919999999999245
8,0,2,0.266299999999992
8,0,3,0.2657999999999922
8,0,4,0.27959999999999097
8,0,5,0.26389999999999286
8,0,6,0.2653999999999923
8,0,7,0.26639999999999237
8,0,8,0.2629999999999917
8,0,9,0.27389999999999187
8,1,2,0.275399999999992
8,1,3,0.2852999999999915
8,1,4,0.28629999999999173
8,1,5,0.2764999999999922
8,1,6,0.2733999999999926
8,1,7,0.27829999999999155
8,1,8,0.276499999999992
8,1,9,0.2798999999999918
8,2,3,0.27489999999999193
8,2,4,0.27899999999999187
8,2,5,0.2779999999999916
8,2,6,0.2707999999999923
8,2,7,0.269199999999992
8,2,8,0.2681999999999919
8,2,9,0.27819999999999223
8,3,4,0.28039999999999177
8,3,5,0.2787999999999915
8,3,6,0.276899999999992
8,3,7,0.2740999999999915
8,3,8,0.26369999999999255
8,3,9,0.2750999999999915
8,4,5,0.27939999999999193
8,4,6,0.284399999999991
8,4,7,0.27449999999999225
8,4,8,0.27429999999999216
8,4,9,0.2772999999999921
8,5,6,0.274899999999992
8,5,7,0.27739999999999165
8,5,8,0.274199999999992
8,5,9,0.2766999999999921
8,6,7,0.28049999999999103
8,6,8,0.2716999999999918
8,6,9,0.2809999999999913
8,7,8,0.2721999999999919
8,7,9,0.2728999999999919
8,8,9,0.27229999999999205
9,0,1,0.30379999999999174
9,0,2,0.2983999999999919
9,0,3,0.31269999999999126
9,0,4,0.3034999999999913
9,0,5,0.3087999999999916
9,0,6,0.3045999999999916
9,0,7,0.30129999999999185
9,0,8,0.31409999999999105
9,0,9,0.2988999999999922
9,1,2,0.2986999999999918
9,1,3,0.29949999999999194
9,1,4,0.3134999999999915
9,1,5,0.3003999999999915
9,1,6,0.3050999999999919
9,1,7,0.2985999999999918
9,1,8,0.3021999999999917
9,1,9,0.305999999999992
9,2,3,0.299099999999992
9,2,4,0.29779999999999174
9,2,5,0.29139999999999255
9,2,6,0.29819999999999197
9,2,7,0.2980999999999911
9,2,8,0.30179999999999174
9,2,9,0.2934999999999922
9,3,4,0.3088999999999914
9,3,5,0.3073999999999913
9,3,6,0.31159999999999105
9,3,7,0.30859999999999055
9,3,8,0.3073999999999919
9,3,9,0.2982999999999913
9,4,5,0.3023999999999916
9,4,6,0.3058999999999917
9,4,7,0.2976999999999914
9,4,8,0.3040999999999918
9,4,9,0.30549999999999133
9,5,6,0.3061999999999912
9,5,7,0.29959999999999176
9,5,8,0.3027999999999916
9,5,9,0.3021999999999913
9,6,7,0.30399999999999117
9,6,8,0.3035999999999909
9,6,9,0.3049999999999916
9,7,8,0.3012999999999916
9,7,9,0.30499999999999106
9,8,9,0.30769999999999126
