n-th challenge,i-th execution,j-th execution,dist
0,0,1,0.7315999999999442
0,0,2,0.7249999999999447
0,0,3,0.7347999999999432
0,0,4,0.7215999999999452
0,1,2,0.7145999999999454
0,1,3,0.7237999999999445
0,1,4,0.715399999999946
0,2,3,0.7233999999999442
0,2,4,0.7155999999999454
0,3,4,0.7161999999999448
1,0,1,0.5957999999999629
1,0,2,0.6047999999999614
1,0,3,0.613599999999961
1,0,4,0.6131999999999609
1,1,2,0.6149999999999612
1,1,3,0.6137999999999605
1,1,4,0.6263999999999597
1,2,3,0.6149999999999608
1,2,4,0.6243999999999598
1,3,4,0.6265999999999596
2,0,1,0.6663999999999521
2,0,2,0.6579999999999524
2,0,3,0.6585999999999528
2,0,4,0.6699999999999517
2,1,2,0.6637999999999518
2,1,3,0.6691999999999516
2,1,4,0.6575999999999526
2,2,3,0.6561999999999534
2,2,4,0.6555999999999528
2,3,4,0.6645999999999516
3,0,1,0.8075999999999328
3,0,2,0.8077999999999326
3,0,3,0.8037999999999329
3,0,4,0.8075999999999325
3,1,2,0.8071999999999321
3,1,3,0.8057999999999331
3,1,4,0.8167999999999317
3,2,3,0.8125999999999325
3,2,4,0.8005999999999328
3,3,4,0.8013999999999326
4,0,1,0.7423999999999409
4,0,2,0.7505999999999396
4,0,3,0.7529999999999396
4,0,4,0.7467999999999394
4,1,2,0.7493999999999399
4,1,3,0.7523999999999399
4,1,4,0.7431999999999407
4,2,3,0.7521999999999397
4,2,4,0.7501999999999394
4,3,4,0.7579999999999385
5,0,1,0.6971999999999481
5,0,2,0.7035999999999473
5,0,3,0.6905999999999481
5,0,4,0.6949999999999469
5,1,2,0.6879999999999487
5,1,3,0.6739999999999505
5,1,4,0.6863999999999485
5,2,3,0.6819999999999498
5,2,4,0.6897999999999493
5,3,4,0.6793999999999494
6,0,1,0.6937999999999493
6,0,2,0.6739999999999507
6,0,3,0.6797999999999498
6,0,4,0.6891999999999497
6,1,2,0.6797999999999503
6,1,3,0.677199999999951
6,1,4,0.67979999999995
6,2,3,0.6693999999999509
6,2,4,0.6757999999999506
6,3,4,0.6733999999999505
7,0,1,0.7839999999999354
7,0,2,0.7943999999999338
7,0,3,0.7911999999999351
7,0,4,0.7911999999999356
7,1,2,0.7909999999999342
7,1,3,0.7761999999999365
7,1,4,0.7889999999999348
7,2,3,0.787599999999935
7,2,4,0.7917999999999349
7,3,4,0.7841999999999363
8,0,1,0.7821999999999341
8,0,2,0.7757999999999355
8,0,3,0.7935999999999334
8,0,4,0.7893999999999339
8,1,2,0.7725999999999362
8,1,3,0.7951999999999331
8,1,4,0.7931999999999334
8,2,3,0.7777999999999355
8,2,4,0.7829999999999352
8,3,4,0.8027999999999326
9,0,1,0.7381999999999452
9,0,2,0.7309999999999457
9,0,3,0.7333999999999448
9,0,4,0.7321999999999458
9,1,2,0.7253999999999465
9,1,3,0.7457999999999441
9,1,4,0.7265999999999455
9,2,3,0.7269999999999457
9,2,4,0.7213999999999462
9,3,4,0.7433999999999442
