n-th challenge,m-th challenge,dist
0,1,0.8519999999999983
0,2,0.678999999999999
0,3,0.7029999999999985
0,4,0.8899999999999971
0,5,0.6879999999999988
0,6,0.7299999999999985
0,7,0.7899999999999981
0,8,0.6769999999999985
0,9,0.9379999999999976
1,2,0.7749999999999979
1,3,0.8969999999999982
1,4,0.7589999999999985
1,5,0.7959999999999983
1,6,0.6659999999999997
1,7,0.4940000000000003
1,8,0.6779999999999994
1,9,0.7479999999999986
2,3,0.5929999999999989
2,4,0.896999999999997
2,5,0.7859999999999985
2,6,0.7429999999999987
2,7,0.6749999999999982
2,8,0.534
2,9,0.912999999999997
3,4,0.8509999999999979
3,5,0.7169999999999981
3,6,0.8079999999999978
3,7,0.7189999999999985
3,8,0.5359999999999993
3,9,0.8839999999999972
4,5,0.6769999999999978
4,6,0.810999999999998
4,7,0.7869999999999973
4,8,0.7419999999999974
4,9,0.630999999999999
5,6,0.7569999999999982
5,7,0.7639999999999981
5,8,0.6629999999999981
5,9,0.7379999999999984
6,7,0.648999999999999
6,8,0.6589999999999994
6,9,0.811999999999999
7,8,0.5070000000000002
7,9,0.8179999999999983
8,9,0.7589999999999982
