n-th challenge,m-th challenge,dist
0,1,0.8469999999999985
0,2,0.6669999999999989
0,3,0.7059999999999983
0,4,0.8519999999999974
0,5,0.7229999999999983
0,6,0.7399999999999988
0,7,0.7659999999999983
0,8,0.6779999999999982
0,9,0.9199999999999983
1,2,0.7489999999999981
1,3,0.9189999999999974
1,4,0.7229999999999986
1,5,0.8109999999999978
1,6,0.6799999999999994
1,7,0.5239999999999999
1,8,0.6599999999999991
1,9,0.7649999999999987
2,3,0.6109999999999989
2,4,0.8499999999999978
2,5,0.8169999999999976
2,6,0.7349999999999985
2,7,0.6029999999999998
2,8,0.4870000000000003
2,9,0.879999999999998
3,4,0.8609999999999971
3,5,0.7899999999999978
3,6,0.8329999999999982
3,7,0.7049999999999985
3,8,0.5879999999999989
3,9,0.9049999999999973
4,5,0.6999999999999975
4,6,0.7749999999999978
4,7,0.7579999999999981
4,8,0.7219999999999973
4,9,0.6589999999999987
5,6,0.7539999999999984
5,7,0.8019999999999976
5,8,0.7309999999999972
5,9,0.7229999999999991
6,7,0.6819999999999994
6,8,0.6469999999999991
6,9,0.7879999999999987
7,8,0.4940000000000004
7,9,0.8269999999999987
8,9,0.767999999999998
