n-th challenge,m-th challenge,dist
0,1,0.3946999999999997
0,2,0.39409999999999984
0,3,0.3963499999999998
0,4,0.4148999999999996
0,5,0.60285
0,6,0.37744999999999984
0,7,0.4042499999999999
0,8,0.3612000000000001
0,9,0.41849999999999976
1,2,0.5570499999999999
1,3,0.44264999999999965
1,4,0.4000999999999998
1,5,0.6486499999999998
1,6,0.37129999999999996
1,7,0.4430499999999999
1,8,0.4027999999999999
1,9,0.4193999999999997
2,3,0.48760000000000003
2,4,0.45655000000000007
2,5,0.7632000000000008
2,6,0.4599500000000001
2,7,0.5707
2,8,0.5406499999999995
2,9,0.5835999999999999
3,4,0.5367999999999997
3,5,0.5902999999999999
3,6,0.5434499999999999
3,7,0.41264999999999963
3,8,0.3998
3,9,0.45265000000000005
4,5,0.7298499999999997
4,6,0.3436499999999999
4,7,0.49295
4,8,0.4681499999999996
4,9,0.4353999999999998
5,6,0.81615
5,7,0.55045
5,8,0.5043499999999996
5,9,0.6000999999999997
6,7,0.5390999999999994
6,8,0.49545
6,9,0.5834499999999998
7,8,0.33444999999999997
7,9,0.4535999999999998
8,9,0.3210999999999999
