n-th challenge,m-th challenge,dist
0,1,0.8075999999999767
0,2,0.7491999999999843
0,3,0.8265999999999747
0,4,0.8219999999999759
0,5,0.7661999999999802
0,6,0.7921999999999801
0,7,0.8083999999999744
0,8,0.8499999999999778
0,9,0.748599999999978
1,2,0.8139999999999831
1,3,0.8843999999999762
1,4,0.8727999999999773
1,5,0.8395999999999793
1,6,0.8809999999999778
1,7,0.8817999999999747
1,8,0.8983999999999795
1,9,0.8697999999999738
2,3,0.9147999999999789
2,4,0.9031999999999784
2,5,0.7923999999999815
2,6,0.7441999999999871
2,7,0.898999999999977
2,8,0.8141999999999865
2,9,0.7227999999999846
3,4,0.7771999999999809
3,5,0.8483999999999805
3,6,0.8245999999999812
3,7,0.6585999999999828
3,8,0.7765999999999823
3,9,0.803799999999977
4,5,0.8339999999999802
4,6,0.845199999999977
4,7,0.7503999999999796
4,8,0.9053999999999762
4,9,0.859599999999972
5,6,0.7315999999999846
5,7,0.8245999999999786
5,8,0.8021999999999841
5,9,0.7241999999999839
6,7,0.8637999999999766
6,8,0.7295999999999891
6,9,0.6537999999999904
7,8,0.823799999999979
7,9,0.8113999999999747
8,9,0.7299999999999888
