n-th challenge,m-th challenge,dist
0,1,0.9066500000003014
0,2,0.8421500000002402
0,3,0.9310500000003186
0,4,0.9326500000003339
0,5,0.8846500000003021
0,6,0.890800000000313
0,7,0.9193500000002964
0,8,0.9189000000002772
0,9,0.831750000000295
1,2,0.9048000000002656
1,3,0.951450000000324
1,4,0.9531000000002533
1,5,0.8917000000002822
1,6,0.9205500000003303
1,7,0.9563500000003274
1,8,0.9296500000002715
1,9,0.9268000000003658
2,3,0.963250000000312
2,4,0.9482000000003076
2,5,0.9090000000002906
2,6,0.8938500000002806
2,7,0.9455500000002929
2,8,0.9237500000002767
2,9,0.864000000000295
3,4,0.9328000000003156
3,5,0.9103500000003223
3,6,0.883850000000303
3,7,0.8143500000002157
3,8,0.8425000000002302
3,9,0.8599500000003172
4,5,0.9069500000002837
4,6,0.8916000000003262
4,7,0.8986500000003004
4,8,0.9618000000003367
4,9,0.9192000000003683
5,6,0.8589500000003109
5,7,0.8864500000002835
5,8,0.8949000000002709
5,9,0.8700000000003496
6,7,0.901250000000303
6,8,0.8910000000002766
6,9,0.858100000000337
7,8,0.8463500000002264
7,9,0.8728000000003178
8,9,0.8959000000003098
