n-th challenge,m-th challenge,dist
0,1,0.9115000000002973
0,2,0.8373000000002375
0,3,0.9372500000003124
0,4,0.9391000000003389
0,5,0.8875000000003067
0,6,0.8947500000002995
0,7,0.9210000000002845
0,8,0.9232000000002859
0,9,0.8406500000002886
1,2,0.8692500000002408
1,3,0.9582500000003362
1,4,0.9530500000002702
1,5,0.8839000000002865
1,6,0.9258500000003258
1,7,0.9568500000003294
1,8,0.9193500000002721
1,9,0.9333000000003719
2,3,0.9572500000003128
2,4,0.9455500000003113
2,5,0.8995500000003014
2,6,0.897150000000281
2,7,0.9393500000002986
2,8,0.9077000000002887
2,9,0.8470000000002992
3,4,0.9169500000003081
3,5,0.9016500000003294
3,6,0.8764500000002896
3,7,0.8178500000002193
3,8,0.830850000000234
3,9,0.8525000000003078
4,5,0.8976000000003052
4,6,0.8812500000003091
4,7,0.8754500000002913
4,8,0.9480500000003432
4,9,0.914550000000364
5,6,0.8496000000003079
5,7,0.8827500000003063
5,8,0.8886500000002989
5,9,0.8597500000003505
6,7,0.8919000000002972
6,8,0.8813500000002781
6,9,0.8534500000003313
7,8,0.8477500000002384
7,9,0.872150000000318
8,9,0.8960500000003339
