n-th challenge,m-th challenge,dist
0,1,0.8049999999999795
0,2,0.805399999999983
0,3,0.9199999999999804
0,4,0.8946999999999835
0,5,0.8009999999999794
0,6,0.7593999999999789
0,7,0.8483999999999761
0,8,0.9086999999999831
0,9,0.8315999999999806
1,2,0.7877999999999801
1,3,0.7824999999999777
1,4,0.8807999999999767
1,5,0.7179999999999775
1,6,0.7605999999999752
1,7,0.7466999999999772
1,8,0.861999999999978
1,9,0.7826999999999763
2,3,0.865999999999981
2,4,0.8972999999999781
2,5,0.7672999999999822
2,6,0.7899999999999785
2,7,0.6838999999999847
2,8,0.8027999999999834
2,9,0.8363999999999787
3,4,0.7941999999999827
3,5,0.8637999999999773
3,6,0.8018999999999754
3,7,0.782699999999978
3,8,0.8902999999999814
3,9,0.8336999999999793
4,5,0.9183999999999752
4,6,0.8439999999999744
4,7,0.8264999999999753
4,8,0.9010999999999814
4,9,0.8832999999999781
5,6,0.7014999999999776
5,7,0.7766999999999781
5,8,0.7906999999999811
5,9,0.8159999999999755
6,7,0.7773999999999781
6,8,0.7826999999999795
6,9,0.7867999999999743
7,8,0.8658999999999792
7,9,0.800299999999975
8,9,0.7519999999999848
