n-th challenge,m-th challenge,dist
0,1,0.8609500000000212
0,2,0.7358500000000247
0,3,0.8578000000000172
0,4,0.819750000000008
0,5,0.8864000000000165
0,6,0.8768500000000228
0,7,0.872600000000025
0,8,0.7508000000000148
0,9,0.929200000000017
0,10,0.8338500000000234
0,11,0.784450000000017
0,12,0.8751500000000143
0,13,0.7908000000000195
0,14,0.7087500000000159
0,15,0.9200500000000186
0,16,0.870300000000023
0,17,0.7057000000000223
0,18,0.831700000000019
0,19,0.8296500000000258
1,2,0.6593000000000238
1,3,0.7868000000000157
1,4,0.8152000000000059
1,5,0.8484000000000205
1,6,0.827800000000025
1,7,0.9152500000000278
1,8,0.7832500000000181
1,9,0.8168500000000153
1,10,0.9180000000000268
1,11,0.91805000000002
1,12,0.7975500000000143
1,13,0.685400000000014
1,14,0.8288000000000195
1,15,0.8738000000000193
1,16,0.7628000000000195
1,17,0.7697000000000237
1,18,0.9390500000000254
1,19,0.8450500000000299
2,3,0.7285000000000165
2,4,0.7137000000000032
2,5,0.8154500000000179
2,6,0.7269000000000125
2,7,0.7906500000000295
2,8,0.5955000000000038
2,9,0.8243000000000174
2,10,0.7560500000000301
2,11,0.6918000000000145
2,12,0.7279500000000131
2,13,0.7004000000000246
2,14,0.6776500000000141
2,15,0.7893500000000174
2,16,0.7980000000000302
2,17,0.5703500000000117
2,18,0.8179000000000258
2,19,0.747650000000034
3,4,0.6964000000000006
3,5,0.8184500000000104
3,6,0.7571000000000067
3,7,0.9175000000000216
3,8,0.7068000000000076
3,9,0.8786500000000113
3,10,0.9069000000000256
3,11,0.737650000000007
3,12,0.8333500000000107
3,13,0.7680000000000139
3,14,0.8271500000000094
3,15,0.8795500000000077
3,16,0.8444000000000138
3,17,0.7986500000000135
3,18,0.8179000000000101
3,19,0.820100000000029
4,5,0.7615500000000035
4,6,0.7768500000000015
4,7,0.7583500000000007
4,8,0.6628000000000001
4,9,0.833400000000003
4,10,0.8559000000000064
4,11,0.8312000000000035
4,12,0.7391000000000048
4,13,0.6657000000000027
4,14,0.6880499999999994
4,15,0.7895999999999983
4,16,0.8054500000000032
4,17,0.7415500000000009
4,18,0.7514999999999996
4,19,0.794100000000007
5,6,0.8566000000000084
5,7,0.920900000000016
5,8,0.6927000000000033
5,9,0.6460000000000027
5,10,0.8947500000000174
5,11,0.8551000000000111
5,12,0.7807500000000126
5,13,0.8432000000000154
5,14,0.809650000000009
5,15,0.7595000000000057
5,16,0.7407500000000149
5,17,0.817300000000014
5,18,0.9046500000000113
5,19,0.9359000000000194
6,7,0.9177000000000258
6,8,0.636350000000003
6,9,0.8313000000000068
6,10,0.8265500000000241
6,11,0.8157500000000121
6,12,0.8222000000000089
6,13,0.8709500000000202
6,14,0.8199000000000092
6,15,0.7938500000000084
6,16,0.8596500000000171
6,17,0.7727500000000149
6,18,0.8359000000000105
6,19,0.8100000000000329
7,8,0.8822000000000161
7,9,0.9248500000000166
7,10,0.8626000000000273
7,11,0.900150000000019
7,12,0.7675000000000116
7,13,0.8265500000000203
7,14,0.776750000000013
7,15,0.9179500000000201
7,16,0.9525000000000264
7,17,0.833100000000023
7,18,0.9161500000000251
7,19,0.8000000000000316
8,9,0.79375000000001
8,10,0.7666000000000174
8,11,0.6913500000000109
8,12,0.7577000000000106
8,13,0.7365500000000159
8,14,0.6710499999999994
8,15,0.6934000000000022
8,16,0.7321500000000151
8,17,0.5886999999999993
8,18,0.6517000000000057
8,19,0.7457000000000195
9,10,0.8557000000000166
9,11,0.9165000000000119
9,12,0.7819500000000107
9,13,0.840150000000015
9,14,0.8491500000000091
9,15,0.7103500000000051
9,16,0.6949500000000081
9,17,0.8522500000000183
9,18,0.9381000000000111
9,19,0.9041000000000308
10,11,0.7707000000000164
10,12,0.803700000000014
10,13,0.9028500000000278
10,14,0.7141000000000167
10,15,0.9005500000000257
10,16,0.9375000000000323
10,17,0.808950000000026
10,18,0.8173000000000228
10,19,0.8576000000000362
11,12,0.868650000000012
11,13,0.8911000000000189
11,14,0.8104500000000118
11,15,0.8894000000000111
11,16,0.949950000000022
11,17,0.7458500000000142
11,18,0.8103000000000115
11,19,0.8735500000000267
12,13,0.7949500000000139
12,14,0.7348500000000096
12,15,0.8508500000000092
12,16,0.8464000000000139
12,17,0.7778000000000144
12,18,0.8953500000000109
12,19,0.8877500000000278
13,14,0.7247000000000138
13,15,0.8756500000000192
13,16,0.7970500000000196
13,17,0.6793500000000171
13,18,0.8274000000000196
13,19,0.8053500000000322
14,15,0.8395500000000062
14,16,0.8659500000000192
14,17,0.7184500000000132
14,18,0.790000000000007
14,19,0.805300000000029
15,16,0.730850000000006
15,17,0.8373000000000159
15,18,0.8583500000000079
15,19,0.8623000000000318
16,17,0.7920500000000225
16,18,0.890400000000022
16,19,0.8499000000000306
17,18,0.7397500000000139
17,19,0.773350000000035
18,19,0.7572000000000269
