n-th challenge,m-th challenge,dist
0,1,0.7230000000000003
0,2,0.7444999999999997
0,3,0.8653500000000006
0,4,0.7964500000000008
0,5,0.7322499999999995
0,6,0.6887499999999998
0,7,0.7174500000000001
0,8,0.82565
0,9,0.7524500000000005
1,2,0.5997999999999998
1,3,0.6557499999999999
1,4,0.7169500000000002
1,5,0.5808000000000001
1,6,0.5992000000000001
1,7,0.4511999999999999
1,8,0.7454500000000003
1,9,0.7453000000000003
2,3,0.7621500000000004
2,4,0.8145500000000007
2,5,0.6844999999999999
2,6,0.7116499999999998
2,7,0.51355
2,8,0.7171500000000006
2,9,0.7513000000000003
3,4,0.6884000000000003
3,5,0.8354500000000004
3,6,0.7174999999999998
3,7,0.6113999999999996
3,8,0.7773500000000007
3,9,0.777800000000001
4,5,0.8666499999999997
4,6,0.7354500000000004
4,7,0.6262999999999999
4,8,0.8218500000000003
4,9,0.8253500000000014
5,6,0.5324500000000002
5,7,0.60275
5,8,0.7908999999999999
5,9,0.7740999999999997
6,7,0.5633999999999997
6,8,0.7066000000000001
6,9,0.7310999999999998
7,8,0.7107500000000008
7,9,0.6711999999999998
8,9,0.6790500000000012
