n-th challenge,m-th challenge,dist
0,1,0.8845000000000018
0,2,0.8345000000000066
0,3,0.6664
0,4,0.7863500000000032
0,5,0.9036000000000045
0,6,0.5910499999999979
0,7,0.9546500000000082
0,8,0.8282000000000038
0,9,0.8687499999999998
1,2,0.8686500000000044
1,3,0.7858000000000012
1,4,0.8756500000000029
1,5,0.9108500000000053
1,6,0.8123999999999997
1,7,0.9522000000000044
1,8,0.8338000000000029
1,9,0.846100000000001
2,3,0.8429500000000031
2,4,0.8502000000000066
2,5,0.8672000000000067
2,6,0.8315000000000043
2,7,0.9401000000000082
2,8,0.4720999999999973
2,9,0.8699000000000034
3,4,0.61435
3,5,0.9004000000000035
3,6,0.5710499999999993
3,7,0.937250000000004
3,8,0.8157000000000014
3,9,0.7173500000000003
4,5,0.8529000000000068
4,6,0.7175499999999987
4,7,0.9206000000000073
4,8,0.8482000000000054
4,9,0.7880500000000017
5,6,0.8163500000000025
5,7,0.7992500000000059
5,8,0.8717000000000065
5,9,0.8029500000000036
6,7,0.8981500000000049
6,8,0.8215500000000021
6,9,0.8066499999999999
7,8,0.9149500000000071
7,9,0.867100000000005
8,9,0.7803000000000015
