n-th challenge,m-th challenge,dist
0,1,0.8151999999999984
0,2,0.7085999999999995
0,3,0.7510999999999991
0,4,0.8115999999999988
0,5,0.799499999999999
0,6,0.5217999999999993
0,7,0.620099999999999
0,8,0.7969999999999993
0,9,0.7736999999999993
1,2,0.5646999999999992
1,3,0.8734999999999992
1,4,0.9243999999999991
1,5,0.6948999999999986
1,6,0.8157
1,7,0.6654999999999983
1,8,0.8937999999999993
1,9,0.8740999999999998
2,3,0.8896999999999987
2,4,0.9318999999999988
2,5,0.7801999999999988
2,6,0.6876999999999989
2,7,0.6331999999999991
2,8,0.8434999999999985
2,9,0.8935999999999991
3,4,0.4702999999999994
3,5,0.8545999999999979
3,6,0.7522999999999994
3,7,0.8382999999999994
3,8,0.7428999999999989
3,9,0.658199999999999
4,5,0.8298999999999986
4,6,0.7476999999999989
4,7,0.8329999999999985
4,8,0.8067999999999991
4,9,0.7104999999999985
5,6,0.730899999999999
5,7,0.5087999999999988
5,8,0.8818999999999986
5,9,0.796499999999999
6,7,0.507699999999999
6,8,0.7267999999999993
6,9,0.7660999999999992
7,8,0.8404999999999988
7,9,0.8423999999999991
8,9,0.6055999999999989
