n-th challenge,m-th challenge,dist
0,1,0.7636000000000006
0,2,0.6451000000000003
0,3,0.3828499999999994
0,4,0.7065999999999999
0,5,0.8004999999999997
0,6,0.3348999999999999
0,7,0.8156500000000001
0,8,0.7571499999999991
0,9,0.6976
1,2,0.4364999999999994
1,3,0.7153000000000015
1,4,0.8513999999999998
1,5,0.8434499999999999
1,6,0.7172999999999996
1,7,0.8617000000000008
1,8,0.80595
1,9,0.7565000000000002
2,3,0.6092000000000006
2,4,0.7965500000000004
2,5,0.8400499999999997
2,6,0.6404500000000002
2,7,0.9190000000000002
2,8,0.6583499999999993
2,9,0.6665000000000001
3,4,0.7251999999999997
3,5,0.8461499999999998
3,6,0.4173499999999999
3,7,0.8222500000000001
3,8,0.7894500000000002
3,9,0.6759499999999997
4,5,0.6917999999999999
4,6,0.7215500000000004
4,7,0.8947499999999998
4,8,0.7299499999999999
4,9,0.6891999999999998
5,6,0.7447
5,7,0.6301499999999997
5,8,0.7490999999999999
5,9,0.5779500000000003
6,7,0.6701000000000003
6,8,0.7619999999999999
6,9,0.6661000000000002
7,8,0.8838499999999995
7,9,0.6797499999999997
8,9,0.6062999999999998
