n-th challenge,m-th challenge,dist
0,1,0.6105999999999793
0,2,0.6687999999999764
0,3,0.5989999999999802
0,4,0.6335999999999793
0,5,0.6553999999999769
0,6,0.6353999999999781
0,7,0.6049999999999797
0,8,0.6277999999999807
0,9,0.5645999999999821
1,2,0.6089999999999788
1,3,0.6203999999999782
1,4,0.6149999999999793
1,5,0.6011999999999784
1,6,0.6113999999999787
1,7,0.6003999999999795
1,8,0.5655999999999837
1,9,0.5847999999999802
2,3,0.6249999999999797
2,4,0.6787999999999772
2,5,0.5999999999999804
2,6,0.6225999999999791
2,7,0.5907999999999791
2,8,0.6995999999999768
2,9,0.6589999999999766
3,4,0.6601999999999786
3,5,0.6365999999999788
3,6,0.5689999999999825
3,7,0.58599999999998
3,8,0.6275999999999818
3,9,0.5649999999999821
4,5,0.6811999999999762
4,6,0.6487999999999791
4,7,0.6041999999999796
4,8,0.6463999999999799
4,9,0.6147999999999798
5,6,0.6073999999999795
5,7,0.5711999999999808
5,8,0.6467999999999797
5,9,0.6455999999999779
6,7,0.6029999999999783
6,8,0.6385999999999803
6,9,0.6113999999999779
7,8,0.6195999999999798
7,9,0.5923999999999798
8,9,0.6023999999999812
