n-th challenge,m-th challenge,dist
0,1,0.36394999999999994
0,2,0.40735
0,3,0.3554
0,4,0.25369999999999987
0,5,0.3886499999999998
0,6,0.26610000000000006
0,7,0.39034999999999975
0,8,0.4081999999999997
0,9,0.2659999999999999
1,2,0.4413000000000001
1,3,0.3907999999999998
1,4,0.4593499999999998
1,5,0.4838499999999996
1,6,0.41414999999999996
1,7,0.47444999999999954
1,8,0.46599999999999947
1,9,0.3996999999999998
2,3,0.4480499999999998
2,4,0.5099999999999998
2,5,0.5393999999999994
2,6,0.4903999999999997
2,7,0.5373499999999994
2,8,0.6117499999999992
2,9,0.40700000000000014
3,4,0.4006999999999998
3,5,0.4003
3,6,0.3376999999999998
3,7,0.4406499999999998
3,8,0.4445499999999997
3,9,0.3514000000000001
4,5,0.3820000000000001
4,6,0.2802499999999999
4,7,0.41059999999999985
4,8,0.4542500000000001
4,9,0.3530500000000001
5,6,0.41830000000000006
5,7,0.5426000000000001
5,8,0.4045500000000001
5,9,0.44634999999999986
6,7,0.32804999999999984
6,8,0.46559999999999957
6,9,0.31815
7,8,0.48810000000000026
7,9,0.4341999999999998
8,9,0.4772499999999994
