n-th challenge,m-th challenge,dist
0,1,0.4337999999999999
0,2,0.48620000000000024
0,3,0.43879999999999997
0,4,0.47640000000000016
0,5,0.5284
0,6,0.43940000000000007
0,7,0.4283999999999999
0,8,0.44700000000000034
0,9,0.45799999999999985
1,2,0.508
1,3,0.3380000000000001
1,4,0.4072000000000002
1,5,0.3486000000000001
1,6,0.3570000000000003
1,7,0.4318000000000002
1,8,0.47640000000000027
1,9,0.3915999999999998
2,3,0.4962000000000005
2,4,0.5721999999999998
2,5,0.5966
2,6,0.4282000000000002
2,7,0.46740000000000015
2,8,0.6693999999999994
2,9,0.5157999999999998
3,4,0.46060000000000056
3,5,0.44460000000000005
3,6,0.30440000000000017
3,7,0.3385999999999999
3,8,0.5156
3,9,0.3814
4,5,0.4436
4,6,0.45900000000000013
4,7,0.48240000000000016
4,8,0.5846
4,9,0.40120000000000006
5,6,0.39480000000000026
5,7,0.47859999999999975
5,8,0.6257999999999999
5,9,0.4991999999999999
6,7,0.38539999999999985
6,8,0.5894
6,9,0.3810000000000001
7,8,0.6229999999999999
7,9,0.5144
8,9,0.5456000000000001
