n-th challenge,m-th challenge,dist
0,1,0.4929499999999984
0,2,0.6341500000000005
0,3,0.2490499999999997
0,4,0.2757499999999995
0,5,0.28399999999999953
0,6,0.3177499999999994
0,7,0.7255999999999997
0,8,0.7328499999999998
0,9,0.749799999999999
0,10,0.2770999999999998
0,11,0.7188
0,12,0.5484999999999982
0,13,0.5680999999999985
0,14,0.37569999999999965
0,15,0.7742499999999997
0,16,0.5581999999999981
0,17,0.4780499999999991
0,18,0.5845999999999985
0,19,0.34019999999999956
1,2,0.34799999999999764
1,3,0.47364999999999874
1,4,0.43254999999999855
1,5,0.478649999999998
1,6,0.4902999999999983
1,7,0.4022499999999972
1,8,0.3739499999999974
1,9,0.3850499999999975
1,10,0.4962499999999988
1,11,0.37424999999999786
1,12,0.2855999999999983
1,13,0.25754999999999884
1,14,0.3667999999999984
1,15,0.4525499999999974
1,16,0.3575999999999977
1,17,0.2872499999999987
1,18,0.2936499999999984
1,19,0.45929999999999854
2,3,0.6212499999999987
2,4,0.5899499999999995
2,5,0.6203999999999994
2,6,0.6543499999999993
2,7,0.3324499999999968
2,8,0.3717499999999973
2,9,0.3395499999999971
2,10,0.6476499999999987
2,11,0.3122999999999972
2,12,0.30854999999999766
2,13,0.26314999999999833
2,14,0.5024499999999981
2,15,0.31939999999999735
2,16,0.3798999999999964
2,17,0.358349999999998
2,18,0.36424999999999685
2,19,0.5942499999999997
3,4,0.2957999999999995
3,5,0.25579999999999975
3,6,0.34184999999999904
3,7,0.716399999999999
3,8,0.7171500000000001
3,9,0.7362499999999996
3,10,0.2561499999999996
3,11,0.7062999999999992
3,12,0.5186999999999984
3,13,0.5550999999999979
3,14,0.3075999999999989
3,15,0.7619499999999995
3,16,0.5418499999999985
3,17,0.47659999999999875
3,18,0.556649999999998
3,19,0.37719999999999937
4,5,0.29319999999999924
4,6,0.3011999999999995
4,7,0.6669000000000002
4,8,0.6707500000000008
4,9,0.6904500000000001
4,10,0.3397499999999996
4,11,0.65355
4,12,0.4704499999999987
4,13,0.5176999999999985
4,14,0.34349999999999925
4,15,0.7158500000000001
4,16,0.5024999999999982
4,17,0.43534999999999874
4,18,0.5262499999999986
4,19,0.29619999999999974
5,6,0.34569999999999945
5,7,0.7083499999999996
5,8,0.7154499999999986
5,9,0.7283499999999987
5,10,0.24219999999999983
5,11,0.6981999999999992
5,12,0.5189999999999979
5,13,0.5563999999999982
5,14,0.32399999999999934
5,15,0.7568999999999984
5,16,0.550349999999998
5,17,0.48789999999999834
5,18,0.5451499999999978
5,19,0.353699999999999
6,7,0.7458499999999985
6,8,0.7461000000000008
6,9,0.7665499999999998
6,10,0.3148499999999997
6,11,0.7318499999999996
6,12,0.534899999999998
6,13,0.5851999999999993
6,14,0.3974499999999989
6,15,0.7906000000000009
6,16,0.6054999999999987
6,17,0.5128499999999987
6,18,0.5957999999999987
6,19,0.3271499999999992
7,8,0.36114999999999614
7,9,0.3339999999999959
7,10,0.7448499999999987
7,11,0.30689999999999656
7,12,0.4146499999999976
7,13,0.3120499999999975
7,14,0.583199999999998
7,15,0.3120999999999958
7,16,0.3823999999999973
7,17,0.42594999999999694
7,18,0.38764999999999633
7,19,0.664850000000001
8,9,0.28489999999999754
8,10,0.7499999999999984
8,11,0.34394999999999665
8,12,0.4188499999999975
8,13,0.342899999999997
8,14,0.5762499999999983
8,15,0.3730999999999962
8,16,0.419849999999997
8,17,0.42789999999999817
8,18,0.329349999999998
8,19,0.6697499999999997
9,10,0.7664999999999988
9,11,0.258349999999998
9,12,0.365599999999998
9,13,0.29434999999999795
9,14,0.5845999999999992
9,15,0.3352999999999953
9,16,0.37289999999999657
9,17,0.4171499999999981
9,18,0.3171499999999978
9,19,0.6833000000000008
10,11,0.7354499999999982
10,12,0.5358499999999984
10,13,0.5912999999999987
10,14,0.3042999999999991
10,15,0.7929499999999999
10,16,0.5945499999999988
10,17,0.4953999999999985
10,18,0.570949999999999
10,19,0.36074999999999974
11,12,0.3267499999999977
11,13,0.29734999999999756
11,14,0.5541499999999981
11,15,0.3152999999999959
11,16,0.3358999999999974
11,17,0.38244999999999796
11,18,0.36439999999999667
11,19,0.6568000000000007
12,13,0.27019999999999855
12,14,0.4040999999999989
12,15,0.4104999999999979
12,16,0.3325999999999984
12,17,0.25944999999999885
12,18,0.3254499999999977
12,19,0.47999999999999804
13,14,0.4416499999999987
13,15,0.3336499999999974
13,16,0.34469999999999756
13,17,0.3211999999999979
13,18,0.30974999999999747
13,19,0.518749999999999
14,15,0.6259999999999974
14,16,0.43814999999999876
14,17,0.3884499999999982
14,18,0.3992999999999979
14,19,0.3736999999999997
15,16,0.4085499999999962
15,17,0.46179999999999827
15,18,0.4434499999999966
15,19,0.7105999999999999
16,17,0.3491999999999978
16,18,0.3636499999999981
16,19,0.5398999999999983
17,18,0.34434999999999805
17,19,0.42719999999999847
18,19,0.5115499999999987
