n-th challenge,m-th challenge,dist
0,1,0.7916000000000077
0,2,0.7578000000000038
0,3,0.68735000000002
0,4,0.7015000000000151
0,5,0.5468500000000177
0,6,0.6824000000000024
0,7,0.6340500000000308
0,8,0.7133500000000116
0,9,0.7286500000000116
1,2,0.5197999999999902
1,3,0.6246499999999976
1,4,0.597649999999997
1,5,0.7606500000000057
1,6,0.5315999999999893
1,7,0.7326000000000013
1,8,0.6246499999999946
1,9,0.5272999999999899
2,3,0.6023499999999896
2,4,0.5671999999999885
2,5,0.7508500000000018
2,6,0.5062499999999872
2,7,0.6834499999999979
2,8,0.5774999999999896
2,9,0.5121499999999889
3,4,0.5254999999999888
3,5,0.6511500000000066
3,6,0.5887999999999902
3,7,0.6956500000000019
3,8,0.5400499999999925
3,9,0.6470499999999993
4,5,0.6297000000000035
4,6,0.5585999999999901
4,7,0.6639500000000036
4,8,0.5747999999999921
4,9,0.6657499999999998
5,6,0.646700000000004
5,7,0.579850000000005
5,8,0.6281500000000009
5,9,0.7187000000000074
6,7,0.6192999999999929
6,8,0.5184499999999871
6,9,0.5814999999999939
7,8,0.6722500000000006
7,9,0.6899000000000028
8,9,0.6373499999999971
