n-th challenge,m-th challenge,dist
0,1,0.43909999999999916
0,2,0.5248999999999985
0,3,0.7444000000000005
0,4,0.5733999999999987
0,5,0.701399999999999
0,6,0.8054999999999995
0,7,0.9
0,8,0.7887
0,9,0.3926999999999991
1,2,0.41839999999999966
1,3,0.6503999999999994
1,4,0.4818999999999994
1,5,0.6301999999999995
1,6,0.6804999999999994
1,7,0.7827999999999998
1,8,0.6512999999999998
1,9,0.31709999999999916
2,3,0.7067999999999998
2,4,0.45459999999999967
2,5,0.7718999999999997
2,6,0.7533000000000001
2,7,0.8723000000000004
2,8,0.7438999999999999
2,9,0.36099999999999877
3,4,0.6006000000000004
3,5,0.6140999999999996
3,6,0.4783
3,7,0.5209999999999998
3,8,0.4941
3,9,0.7179999999999991
4,5,0.6551999999999996
4,6,0.6275999999999997
4,7,0.7533999999999993
4,8,0.6071999999999993
4,9,0.4268999999999996
5,6,0.5862000000000003
5,7,0.5991999999999994
5,8,0.5042000000000001
5,9,0.6759999999999993
6,7,0.5381
6,8,0.37599999999999983
6,9,0.7669999999999998
7,8,0.4450999999999996
7,9,0.8883000000000004
8,9,0.7540000000000001
