n-th challenge,m-th challenge,dist
0,1,0.4312499999999821
0,2,0.480849999999981
0,3,0.3506499999999841
0,4,0.41949999999998344
0,5,0.40339999999998233
0,6,0.43519999999998005
0,7,0.44214999999998134
0,8,0.4583999999999808
0,9,0.4887999999999814
0,10,0.44889999999998104
0,11,0.40844999999998155
0,12,0.44064999999998145
0,13,0.3725499999999846
0,14,0.4691999999999815
0,15,0.44059999999998206
0,16,0.405599999999983
0,17,0.5252499999999833
0,18,0.4592999999999819
0,19,0.38959999999998224
1,2,0.45809999999998174
1,3,0.42839999999998113
1,4,0.4080999999999851
1,5,0.3817999999999835
1,6,0.5141499999999821
1,7,0.42899999999998295
1,8,0.4835999999999802
1,9,0.5037499999999817
1,10,0.4087999999999854
1,11,0.4362499999999812
1,12,0.3912499999999833
1,13,0.43609999999998206
1,14,0.4159499999999846
1,15,0.47504999999997993
1,16,0.36659999999998594
1,17,0.46359999999998297
1,18,0.42149999999998344
1,19,0.38289999999998386
2,3,0.4361499999999825
2,4,0.5090999999999855
2,5,0.4680499999999823
2,6,0.5153999999999852
2,7,0.3921499999999841
2,8,0.43339999999998263
2,9,0.4054499999999837
2,10,0.46744999999998377
2,11,0.45144999999998114
2,12,0.4118499999999845
2,13,0.4343499999999832
2,14,0.5136999999999863
2,15,0.52494999999999
2,16,0.42974999999998315
2,17,0.403349999999986
2,18,0.4133499999999835
2,19,0.4226999999999833
3,4,0.4494999999999821
3,5,0.3940999999999827
3,6,0.41514999999998037
3,7,0.4219999999999816
3,8,0.47669999999998075
3,9,0.48144999999998106
3,10,0.45179999999998055
3,11,0.4021499999999815
3,12,0.40069999999998307
3,13,0.40104999999998303
3,14,0.4759999999999815
3,15,0.4526999999999801
3,16,0.4212499999999818
3,17,0.4842499999999814
3,18,0.4255499999999825
3,19,0.408099999999982
4,5,0.4490499999999834
4,6,0.5385999999999889
4,7,0.4587999999999839
4,8,0.5174499999999872
4,9,0.5481499999999926
4,10,0.41814999999998553
4,11,0.4766499999999816
4,12,0.4863499999999833
4,13,0.425499999999985
4,14,0.3913999999999867
4,15,0.448699999999981
4,16,0.38744999999998603
4,17,0.5208499999999868
4,18,0.4346499999999835
4,19,0.4048999999999853
5,6,0.4232999999999813
5,7,0.45679999999998133
5,8,0.477449999999982
5,9,0.52214999999999
5,10,0.47354999999998093
5,11,0.3919999999999834
5,12,0.4430499999999819
5,13,0.42799999999998284
5,14,0.5000999999999822
5,15,0.4409499999999814
5,16,0.3961499999999842
5,17,0.5049499999999811
5,18,0.44024999999998277
5,19,0.41024999999998135
6,7,0.5084999999999816
6,8,0.48409999999998177
6,9,0.47564999999998075
6,10,0.5502999999999837
6,11,0.3745499999999828
6,12,0.5015499999999803
6,13,0.49629999999997915
6,14,0.561049999999985
6,15,0.4322999999999812
6,16,0.48099999999997867
6,17,0.5534999999999838
6,18,0.49054999999997956
6,19,0.4888499999999776
7,8,0.43109999999998105
7,9,0.41499999999998227
7,10,0.41739999999998484
7,11,0.44609999999997946
7,12,0.41864999999998365
7,13,0.3741499999999846
7,14,0.475199999999984
7,15,0.4811499999999809
7,16,0.413149999999984
7,17,0.47409999999998226
7,18,0.43994999999998247
7,19,0.42399999999998333
8,9,0.4291499999999825
8,10,0.5170499999999841
8,11,0.4419999999999812
8,12,0.4911999999999818
8,13,0.43969999999998177
8,14,0.5590999999999853
8,15,0.4768499999999821
8,16,0.48214999999998065
8,17,0.524849999999985
8,18,0.4637999999999818
8,19,0.4572499999999801
9,10,0.5035499999999817
9,11,0.43789999999998175
9,12,0.44569999999998217
9,13,0.46974999999998224
9,14,0.5515499999999864
9,15,0.49299999999998206
9,16,0.47604999999998
9,17,0.5046499999999832
9,18,0.4597499999999814
9,19,0.49579999999997915
10,11,0.4774499999999802
10,12,0.4036999999999835
10,13,0.44249999999998296
10,14,0.3857499999999873
10,15,0.5529999999999872
10,16,0.4119499999999863
10,17,0.4578499999999852
10,18,0.4542999999999827
10,19,0.4156499999999856
11,12,0.44039999999998247
11,13,0.43614999999998166
11,14,0.4901999999999815
11,15,0.4193499999999818
11,16,0.40894999999998277
11,17,0.4976999999999819
11,18,0.40574999999998307
11,19,0.42634999999998136
12,13,0.4495499999999827
12,14,0.45439999999998437
12,15,0.49059999999998216
12,16,0.4154999999999845
12,17,0.4719499999999832
12,18,0.4206999999999833
12,19,0.40704999999998387
13,14,0.479249999999983
13,15,0.4776999999999822
13,16,0.41044999999998355
13,17,0.5155999999999838
13,18,0.4364999999999827
13,19,0.4267999999999833
14,15,0.49759999999998006
14,16,0.43459999999998583
14,17,0.4970999999999848
14,18,0.4771999999999839
14,19,0.44009999999998467
15,16,0.45084999999998115
15,17,0.5561499999999852
15,18,0.484699999999981
15,19,0.4358499999999809
16,17,0.4810499999999847
16,18,0.401099999999984
16,19,0.36794999999998534
17,18,0.46699999999998393
17,19,0.4285499999999836
18,19,0.41889999999998434
