n-th challenge,m-th challenge,dist
0,1,0.49335
0,2,0.5504999999999998
0,3,0.55965
0,4,0.45315000000000005
0,5,0.5373499999999997
0,6,0.5961999999999998
0,7,0.6416500000000002
0,8,0.53985
0,9,0.6129499999999997
1,2,0.47264999999999974
1,3,0.5409499999999998
1,4,0.5243000000000001
1,5,0.5627500000000002
1,6,0.6535500000000003
1,7,0.5991500000000001
1,8,0.5671999999999999
1,9,0.6707499999999997
2,3,0.5461499999999997
2,4,0.5198999999999994
2,5,0.5413999999999998
2,6,0.6972500000000005
2,7,0.56345
2,8,0.5191499999999999
2,9,0.6145499999999997
3,4,0.5994499999999998
3,5,0.4593500000000001
3,6,0.6506000000000004
3,7,0.6686
3,8,0.5585499999999998
3,9,0.6301499999999999
4,5,0.5343999999999998
4,6,0.5474499999999997
4,7,0.5390999999999998
4,8,0.5144499999999996
4,9,0.6169000000000002
5,6,0.6745000000000001
5,7,0.6382999999999996
5,8,0.5900499999999997
5,9,0.54825
6,7,0.5833
6,8,0.6115999999999995
6,9,0.7058999999999997
7,8,0.60045
7,9,0.6521999999999998
8,9,0.6355500000000002
