n-th challenge,m-th challenge,dist
0,1,0.694700000000001
0,2,0.7161000000000006
0,3,0.5978000000000006
0,4,0.649399999999999
0,5,0.64495
0,6,0.5385499999999988
0,7,0.7126000000000011
0,8,0.7073500000000006
0,9,0.6918500000000004
1,2,0.48979999999999807
1,3,0.6681999999999994
1,4,0.6135999999999984
1,5,0.7153999999999998
1,6,0.676249999999999
1,7,0.5878999999999979
1,8,0.589599999999999
1,9,0.6976000000000006
2,3,0.6388500000000015
2,4,0.6457499999999989
2,5,0.6791500000000015
2,6,0.6113999999999998
2,7,0.5171999999999985
2,8,0.43414999999999826
2,9,0.6402500000000004
3,4,0.6964999999999988
3,5,0.4641499999999966
3,6,0.5055999999999978
3,7,0.5862500000000003
3,8,0.6176500000000006
3,9,0.4365999999999976
4,5,0.6462999999999991
4,6,0.6583999999999984
4,7,0.7013499999999987
4,8,0.7078500000000009
4,9,0.7174999999999992
5,6,0.45944999999999775
5,7,0.68355
5,8,0.6524000000000021
5,9,0.4867999999999975
6,7,0.6625000000000002
6,8,0.6194000000000006
6,9,0.5630999999999993
7,8,0.5127999999999983
7,9,0.6652500000000007
8,9,0.5722000000000003
