n-th challenge,m-th challenge,dist
0,1,0.6249999999999944
0,2,0.6967999999999956
0,3,0.7390999999999961
0,4,0.6882999999999956
0,5,0.7556999999999932
0,6,0.5795999999999953
0,7,0.638799999999996
0,8,0.5506999999999957
0,9,0.6613999999999969
0,10,0.767599999999997
0,11,0.5743999999999971
0,12,0.6401999999999954
0,13,0.4638999999999975
0,14,0.7302999999999958
0,15,0.5182999999999953
0,16,0.5485999999999958
0,17,0.6598999999999964
0,18,0.6084999999999956
0,19,0.4760999999999972
1,2,0.6849999999999947
1,3,0.6336999999999944
1,4,0.6132999999999943
1,5,0.5813999999999949
1,6,0.46689999999999715
1,7,0.5992999999999947
1,8,0.5859999999999942
1,9,0.7070999999999937
1,10,0.6406999999999947
1,11,0.5399999999999956
1,12,0.5900999999999966
1,13,0.5565999999999954
1,14,0.6552999999999949
1,15,0.6826999999999949
1,16,0.4526999999999962
1,17,0.6813999999999955
1,18,0.6534999999999944
1,19,0.6019999999999952
2,3,0.619399999999996
2,4,0.638499999999996
2,5,0.6246999999999955
2,6,0.6066999999999966
2,7,0.6236999999999966
2,8,0.676799999999995
2,9,0.7387999999999961
2,10,0.6150999999999968
2,11,0.611099999999996
2,12,0.6139999999999967
2,13,0.7082999999999965
2,14,0.44589999999999663
2,15,0.7376999999999938
2,16,0.5495999999999961
2,17,0.49719999999999803
2,18,0.6851999999999968
2,19,0.6930999999999964
3,4,0.5673999999999951
3,5,0.6854999999999958
3,6,0.6391999999999959
3,7,0.6249999999999953
3,8,0.724199999999995
3,9,0.46259999999999724
3,10,0.6011999999999961
3,11,0.6001999999999948
3,12,0.6705999999999959
3,13,0.6908999999999953
3,14,0.5402999999999984
3,15,0.7776999999999951
3,16,0.6292999999999951
3,17,0.5649999999999978
3,18,0.47649999999999787
3,19,0.711299999999995
4,5,0.6969999999999951
4,6,0.689499999999995
4,7,0.5587999999999952
4,8,0.7646999999999919
4,9,0.6782999999999949
4,10,0.6160999999999955
4,11,0.6162999999999949
4,12,0.5974999999999959
4,13,0.688499999999996
4,14,0.5352999999999988
4,15,0.7877999999999946
4,16,0.6018999999999934
4,17,0.6399999999999973
4,18,0.6068999999999964
4,19,0.7239999999999942
5,6,0.6169999999999954
5,7,0.6631999999999962
5,8,0.6059999999999937
5,9,0.7854999999999946
5,10,0.7297999999999966
5,11,0.6774999999999957
5,12,0.6786999999999968
5,13,0.7088999999999956
5,14,0.6206999999999954
5,15,0.7395999999999947
5,16,0.5501999999999965
5,17,0.6279999999999972
5,18,0.7924999999999951
5,19,0.7662999999999944
6,7,0.5852999999999959
6,8,0.5025999999999959
6,9,0.6775999999999955
6,10,0.6179999999999958
6,11,0.5038999999999976
6,12,0.5558999999999971
6,13,0.5227999999999968
6,14,0.6189999999999961
6,15,0.5725999999999946
6,16,0.4364999999999964
6,17,0.5786999999999973
6,18,0.6328999999999956
6,19,0.5498999999999962
7,8,0.699399999999993
7,9,0.6739999999999959
7,10,0.45309999999999767
7,11,0.45009999999999695
7,12,0.48939999999999784
7,13,0.6483999999999962
7,14,0.5162999999999975
7,15,0.7583999999999943
7,16,0.4838999999999967
7,17,0.646299999999997
7,18,0.673299999999996
7,19,0.6211999999999953
8,9,0.6924999999999942
8,10,0.7609999999999935
8,11,0.5918999999999955
8,12,0.6351999999999958
8,13,0.5469999999999962
8,14,0.7068999999999942
8,15,0.451199999999996
8,16,0.5057999999999956
8,17,0.6783999999999943
8,18,0.7158999999999952
8,19,0.5550999999999947
9,10,0.6811999999999964
9,11,0.5852999999999962
9,12,0.706099999999996
9,13,0.6826999999999964
9,14,0.7122999999999959
9,15,0.7105999999999958
9,16,0.662299999999994
9,17,0.6774999999999972
9,18,0.5766999999999973
9,19,0.6352999999999962
10,11,0.4965999999999981
10,12,0.4801999999999976
10,13,0.7552999999999956
10,14,0.4392999999999974
10,15,0.8317999999999947
10,16,0.5760999999999948
10,17,0.6611999999999971
10,18,0.7110999999999961
10,19,0.6913999999999968
11,12,0.5420999999999968
11,13,0.5730999999999973
11,14,0.5714999999999965
11,15,0.6510999999999956
11,16,0.47069999999999734
11,17,0.6272999999999969
11,18,0.6361999999999968
11,19,0.5457999999999968
12,13,0.5927999999999962
12,14,0.5208999999999979
12,15,0.6493999999999939
12,16,0.5023999999999973
12,17,0.6074999999999968
12,18,0.6593999999999959
12,19,0.5787999999999968
13,14,0.7381999999999966
13,15,0.5259999999999951
13,16,0.5720999999999962
13,17,0.5947999999999968
13,18,0.5522999999999968
13,19,0.4478999999999974
14,15,0.7884999999999951
14,16,0.5179999999999965
14,17,0.5419999999999979
14,18,0.6754999999999965
14,19,0.6942999999999951
15,16,0.5925999999999952
15,17,0.6743999999999947
15,18,0.7324999999999947
15,19,0.5598999999999941
16,17,0.6017999999999969
16,18,0.6911999999999947
16,19,0.5459999999999952
17,18,0.5644999999999978
17,19,0.5918999999999969
18,19,0.6171999999999959
