n-th challenge,m-th challenge,dist
0,1,0.6055999999999968
0,2,0.7487999999999965
0,3,0.8013999999999969
0,4,0.7163999999999956
0,5,0.7803999999999964
0,6,0.6421999999999973
0,7,0.6913999999999957
0,8,0.6465999999999956
0,9,0.5971999999999977
0,10,0.6615999999999962
0,11,0.5603999999999971
0,12,0.6105999999999977
0,13,0.586399999999997
0,14,0.7661999999999947
0,15,0.5491999999999974
0,16,0.49279999999999863
0,17,0.7321999999999971
0,18,0.6635999999999961
0,19,0.5551999999999974
1,2,0.6229999999999972
1,3,0.7165999999999958
1,4,0.6621999999999956
1,5,0.5569999999999978
1,6,0.4753999999999983
1,7,0.5691999999999966
1,8,0.4967999999999984
1,9,0.5431999999999974
1,10,0.5903999999999964
1,11,0.49699999999999844
1,12,0.6269999999999983
1,13,0.6685999999999945
1,14,0.6439999999999937
1,15,0.5523999999999977
1,16,0.44639999999999946
1,17,0.6333999999999976
1,18,0.5839999999999953
1,19,0.6747999999999954
2,3,0.5819999999999965
2,4,0.5929999999999969
2,5,0.5623999999999983
2,6,0.5309999999999985
2,7,0.5967999999999982
2,8,0.6261999999999965
2,9,0.6749999999999963
2,10,0.625199999999997
2,11,0.6811999999999958
2,12,0.4839999999999987
2,13,0.586799999999997
2,14,0.4041999999999988
2,15,0.6327999999999981
2,16,0.5763999999999981
2,17,0.5411999999999983
2,18,0.5467999999999972
2,19,0.7179999999999963
3,4,0.6771999999999966
3,5,0.7305999999999964
3,6,0.6985999999999967
3,7,0.6673999999999959
3,8,0.7853999999999922
3,9,0.6125999999999964
3,10,0.6877999999999959
3,11,0.7507999999999957
3,12,0.7323999999999957
3,13,0.6953999999999949
3,14,0.5979999999999962
3,15,0.7439999999999954
3,16,0.6993999999999955
3,17,0.7209999999999969
3,18,0.6513999999999959
3,19,0.7483999999999961
4,5,0.7295999999999965
4,6,0.6267999999999964
4,7,0.585999999999998
4,8,0.7453999999999923
4,9,0.6417999999999958
4,10,0.6089999999999965
4,11,0.6693999999999963
4,12,0.614399999999998
4,13,0.6855999999999951
4,14,0.5795999999999966
4,15,0.7261999999999967
4,16,0.6153999999999978
4,17,0.6989999999999973
4,18,0.6157999999999962
4,19,0.7033999999999954
5,6,0.5681999999999979
5,7,0.7315999999999973
5,8,0.4745999999999978
5,9,0.7359999999999963
5,10,0.7389999999999973
5,11,0.7375999999999967
5,12,0.679799999999999
5,13,0.7029999999999957
5,14,0.6001999999999964
5,15,0.6621999999999969
5,16,0.6233999999999977
5,17,0.6001999999999976
5,18,0.6855999999999958
5,19,0.8363999999999953
6,7,0.5977999999999977
6,8,0.5579999999999968
6,9,0.5579999999999988
6,10,0.5259999999999981
6,11,0.5677999999999981
6,12,0.5475999999999988
6,13,0.6535999999999956
6,14,0.5927999999999979
6,15,0.5481999999999979
6,16,0.4441999999999996
6,17,0.5315999999999979
6,18,0.6263999999999963
6,19,0.6989999999999971
7,8,0.687999999999994
7,9,0.589599999999997
7,10,0.4731999999999993
7,11,0.45179999999999876
7,12,0.5887999999999984
7,13,0.6203999999999957
7,14,0.5589999999999982
7,15,0.5469999999999983
7,16,0.5097999999999993
7,17,0.682999999999998
7,18,0.6559999999999963
7,19,0.6229999999999963
8,9,0.6725999999999942
8,10,0.6911999999999958
8,11,0.5949999999999958
8,12,0.6165999999999975
8,13,0.6213999999999946
8,14,0.6527999999999926
8,15,0.539599999999997
8,16,0.5447999999999985
8,17,0.6959999999999966
8,18,0.6007999999999947
8,19,0.7245999999999938
9,10,0.6011999999999971
9,11,0.5081999999999987
9,12,0.6981999999999967
9,13,0.6863999999999938
9,14,0.7111999999999956
9,15,0.6009999999999966
9,16,0.5399999999999984
9,17,0.7101999999999977
9,18,0.6413999999999966
9,19,0.6575999999999964
10,11,0.503799999999999
10,12,0.558999999999999
10,13,0.6481999999999959
10,14,0.549799999999997
10,15,0.5829999999999976
10,16,0.5159999999999992
10,17,0.6805999999999987
10,18,0.6989999999999961
10,19,0.5519999999999974
11,12,0.6127999999999985
11,13,0.614999999999996
11,14,0.6597999999999963
11,15,0.45759999999999873
11,16,0.4707999999999999
11,17,0.731199999999997
11,18,0.6697999999999957
11,19,0.5659999999999973
12,13,0.5391999999999976
12,14,0.5135999999999984
12,15,0.5625999999999991
12,16,0.5039999999999998
12,17,0.6391999999999991
12,18,0.5817999999999982
12,19,0.5605999999999989
13,14,0.588999999999996
13,15,0.6083999999999972
13,16,0.5837999999999968
13,17,0.7501999999999956
13,18,0.5487999999999946
13,19,0.5499999999999967
14,15,0.6455999999999971
14,16,0.5977999999999973
14,17,0.6071999999999974
14,18,0.5401999999999963
14,19,0.672399999999996
15,16,0.47359999999999913
15,17,0.6613999999999987
15,18,0.6683999999999959
15,19,0.583799999999998
16,17,0.602
16,18,0.5979999999999963
16,19,0.5283999999999989
17,18,0.6875999999999969
17,19,0.7753999999999971
18,19,0.6737999999999954
