n-th challenge,m-th challenge,dist
0,1,0.8522999999999776
0,2,0.7601999999999811
0,3,0.734299999999976
0,4,0.7288999999999793
0,5,0.8412999999999745
0,6,0.7839999999999759
0,7,0.7455999999999754
0,8,0.7920999999999733
0,9,0.645299999999981
1,2,0.8695999999999817
1,3,0.6531999999999829
1,4,0.7771999999999814
1,5,0.848099999999979
1,6,0.8006999999999808
1,7,0.8112999999999787
1,8,0.8554999999999758
1,9,0.8227999999999767
2,3,0.7636999999999795
2,4,0.8601999999999779
2,5,0.8543999999999811
2,6,0.7289999999999832
2,7,0.8365999999999769
2,8,0.7518999999999805
2,9,0.7060999999999817
3,4,0.7002999999999796
3,5,0.8260999999999745
3,6,0.7169999999999783
3,7,0.6407999999999803
3,8,0.7180999999999774
3,9,0.6915999999999772
4,5,0.8394999999999752
4,6,0.7994999999999757
4,7,0.7188999999999783
4,8,0.8075999999999735
4,9,0.6368999999999798
5,6,0.792599999999979
5,7,0.7462999999999778
5,8,0.7140999999999789
5,9,0.8048999999999767
6,7,0.7407999999999774
6,8,0.6754999999999787
6,9,0.7350999999999773
7,8,0.6749999999999766
7,9,0.7033999999999775
8,9,0.7003999999999759
