n-th challenge,m-th challenge,dist
0,1,0.7929999999999773
0,2,0.6797999999999799
0,3,0.6510999999999778
0,4,0.6650999999999794
0,5,0.8451999999999719
0,6,0.7610999999999746
0,7,0.624699999999979
0,8,0.775999999999973
0,9,0.702299999999975
1,2,0.8453999999999785
1,3,0.668699999999981
1,4,0.6622999999999829
1,5,0.7758999999999787
1,6,0.8096999999999763
1,7,0.7473999999999785
1,8,0.817899999999975
1,9,0.6921999999999805
2,3,0.6748999999999817
2,4,0.8208999999999748
2,5,0.7936999999999779
2,6,0.68819999999998
2,7,0.7608999999999776
2,8,0.6928999999999792
2,9,0.6656999999999819
3,4,0.6695999999999782
3,5,0.749599999999975
3,6,0.6854999999999765
3,7,0.6261999999999783
3,8,0.6661999999999774
3,9,0.6112999999999816
4,5,0.7914999999999742
4,6,0.7635999999999752
4,7,0.6819999999999777
4,8,0.7811999999999738
4,9,0.7153999999999762
5,6,0.7225999999999795
5,7,0.6722999999999786
5,8,0.7309999999999778
5,9,0.6880999999999767
6,7,0.6834999999999771
6,8,0.6252999999999793
6,9,0.7402999999999725
7,8,0.5938999999999797
7,9,0.666299999999975
8,9,0.7077999999999748
