n-th challenge,m-th challenge,dist
0,1,0.7649000000000223
0,2,0.7620000000000096
0,3,0.66100000000001
0,4,0.668050000000019
0,5,0.881200000000023
0,6,0.7684000000000316
0,7,0.7084500000000301
0,8,0.7825500000000328
0,9,0.7436000000000147
1,2,0.8409500000000089
1,3,0.6845500000000052
1,4,0.6282500000000069
1,5,0.7853000000000039
1,6,0.7971000000000196
1,7,0.7629000000000266
1,8,0.8065500000000237
1,9,0.6673000000000073
2,3,0.7225
2,4,0.8364500000000122
2,5,0.7944499999999995
2,6,0.6903500000000032
2,7,0.8124000000000179
2,8,0.7098000000000049
2,9,0.7596000000000039
3,4,0.6638500000000075
3,5,0.743899999999998
3,6,0.6736000000000057
3,7,0.7220500000000202
3,8,0.692250000000009
3,9,0.5309499999999903
4,5,0.7736500000000087
4,6,0.7131500000000291
4,7,0.7056500000000276
4,8,0.7652500000000327
4,9,0.7310500000000137
5,6,0.7475500000000047
5,7,0.7268500000000124
5,8,0.7301000000000017
5,9,0.73345
6,7,0.7517500000000326
6,8,0.6617000000000244
6,9,0.781150000000016
7,8,0.6682000000000307
7,9,0.7663500000000235
8,9,0.744050000000017
