i-th device,j-th device,n-th challenge,dist
0,1,0,0.4061999999999999
0,1,1,0.3773999999999998
0,1,2,0.2762
0,1,3,0.41160000000000013
0,1,4,0.29440000000000005
0,1,5,0.3083999999999998
0,1,6,0.47399999999999964
0,1,7,0.30079999999999996
0,1,8,0.4406
0,1,9,0.2959999999999999
0,2,0,0.1282000000000001
0,2,1,0.11620000000000004
0,2,2,0.14160000000000003
0,2,3,0.13060000000000016
0,2,4,0.12200000000000016
0,2,5,0.14020000000000013
0,2,6,0.10780000000000009
0,2,7,0.12160000000000015
0,2,8,0.14900000000000016
0,2,9,0.15159999999999996
1,2,0,0.4170000000000001
1,2,1,0.38600000000000023
1,2,2,0.3334000000000001
1,2,3,0.43179999999999974
1,2,4,0.3406000000000002
1,2,5,0.37039999999999995
1,2,6,0.4691999999999999
1,2,7,0.32960000000000017
1,2,8,0.4551999999999998
1,2,9,0.37099999999999983
