i-th device,j-th device,n-th challenge,dist
0,1,0,0.36354999999998827
0,1,1,0.28974999999999246
0,1,2,0.35154999999999315
0,1,3,0.26889999999999126
0,1,4,0.294099999999992
0,1,5,0.2583499999999933
0,1,6,0.3011999999999934
0,1,7,0.260349999999992
0,1,8,0.341399999999993
0,1,9,0.2968999999999917
0,2,0,0.34559999999998836
0,2,1,0.273249999999992
0,2,2,0.32649999999999385
0,2,3,0.31054999999998995
0,2,4,0.31764999999999083
0,2,5,0.2604999999999934
0,2,6,0.3066499999999957
0,2,7,0.28199999999999065
0,2,8,0.2726499999999956
0,2,9,0.26619999999999505
1,2,0,0.2670999999999911
1,2,1,0.27664999999999274
1,2,2,0.29514999999999275
1,2,3,0.2822499999999909
1,2,4,0.3061499999999907
1,2,5,0.2914499999999917
1,2,6,0.33024999999999316
1,2,7,0.259299999999992
1,2,8,0.31419999999999326
1,2,9,0.2839499999999928
