i-th device,j-th device,n-th challenge,dist
0,1,0,0.22419999999999468
0,1,1,0.25364999999999516
0,1,2,0.2752999999999911
0,1,3,0.21344999999999548
0,1,4,0.2677499999999939
0,1,5,0.23804999999999615
0,1,6,0.21449999999999456
0,1,7,0.23489999999999456
0,1,8,0.26499999999999113
0,1,9,0.24924999999999564
0,1,10,0.21234999999999474
0,1,11,0.2189499999999954
0,1,12,0.24124999999999477
0,1,13,0.23934999999999398
0,1,14,0.2731999999999909
0,1,15,0.23229999999999512
0,1,16,0.202299999999995
0,1,17,0.2632499999999911
0,1,18,0.22459999999999442
0,1,19,0.23434999999999384
