i-th device,j-th device,n-th challenge,dist
0,1,0,0.27069999999999894
0,1,1,0.20739999999999964
0,1,2,0.4342999999999975
0,1,3,0.1874999999999999
0,1,4,0.261199999999999
0,1,5,0.2344999999999989
0,1,6,0.22899999999999968
0,1,7,0.22169999999999915
0,1,8,0.38509999999999717
0,1,9,0.21009999999999956
0,2,0,0.2545999999999986
0,2,1,0.1892999999999998
0,2,2,0.19969999999999924
0,2,3,0.1889999999999997
0,2,4,0.243999999999999
0,2,5,0.23179999999999876
0,2,6,0.19669999999999987
0,2,7,0.21499999999999914
0,2,8,0.18799999999999897
0,2,9,0.24009999999999965
1,2,0,0.1996999999999991
1,2,1,0.17209999999999967
1,2,2,0.4537999999999977
1,2,3,0.1870999999999996
1,2,4,0.20659999999999926
1,2,5,0.24859999999999882
1,2,6,0.17839999999999953
1,2,7,0.24599999999999894
1,2,8,0.40419999999999695
1,2,9,0.2237999999999996
