i-th device,j-th device,n-th challenge,dist
0,1,0,0.37519999999999826
0,1,1,0.419199999999999
0,1,2,0.39919999999999867
0,1,3,0.49619999999999914
0,1,4,0.5979999999999972
0,1,5,0.42679999999999957
0,1,6,0.5195999999999968
0,1,7,0.5345999999999989
0,1,8,0.36279999999999774
0,1,9,0.32739999999999825
0,2,0,0.43399999999999983
0,2,1,0.4037999999999986
0,2,2,0.33239999999999864
0,2,3,0.46279999999999893
0,2,4,0.5459999999999984
0,2,5,0.3825999999999983
0,2,6,0.4525999999999982
0,2,7,0.4663999999999983
0,2,8,0.4369999999999985
0,2,9,0.36739999999999906
1,2,0,0.4101999999999994
1,2,1,0.3293999999999991
1,2,2,0.3255999999999987
1,2,3,0.5403999999999979
1,2,4,0.3953999999999969
1,2,5,0.3955999999999993
1,2,6,0.38739999999999813
1,2,7,0.4763999999999986
1,2,8,0.3979999999999988
1,2,9,0.3431999999999985
