i-th device,j-th device,n-th challenge,dist
0,1,0,0.4112999999999994
0,1,1,0.45139999999999875
0,1,2,0.36399999999999866
0,1,3,0.4398999999999993
0,1,4,0.3308999999999965
0,1,5,0.3580999999999984
0,1,6,0.32569999999999644
0,1,7,0.3950999999999965
0,1,8,0.4014999999999996
0,1,9,0.3112999999999997
0,2,0,0.4535999999999995
0,2,1,0.45919999999999944
0,2,2,0.4121999999999976
0,2,3,0.5591999999999995
0,2,4,0.5724999999999947
0,2,5,0.411899999999998
0,2,6,0.5179999999999955
0,2,7,0.3646999999999971
0,2,8,0.40949999999999953
0,2,9,0.35579999999999895
1,2,0,0.3003999999999994
1,2,1,0.4083999999999995
1,2,2,0.31829999999999903
1,2,3,0.40930000000000005
1,2,4,0.4957999999999952
1,2,5,0.3526999999999985
1,2,6,0.469999999999996
1,2,7,0.28029999999999783
1,2,8,0.29119999999999957
1,2,9,0.28640000000000004
