i-th device,j-th device,n-th challenge,dist
0,1,0,0.3042999999999999
0,1,1,0.4868499999999995
0,1,2,0.2727
0,1,3,0.36535
0,1,4,0.3611499999999997
0,1,5,0.33974999999999983
0,1,6,0.37200000000000005
0,1,7,0.48904999999999965
0,1,8,0.3549
0,1,9,0.3526999999999999
0,1,10,0.2973499999999997
0,1,11,0.3717499999999998
0,1,12,0.4565999999999997
0,1,13,0.3862000000000001
0,1,14,0.4665500000000002
0,1,15,0.3562999999999998
0,1,16,0.34925000000000006
0,1,17,0.4270499999999998
0,1,18,0.37315
0,1,19,0.49469999999999986
