i-th device,j-th device,n-th challenge,dist
0,1,0,0.3875999999999976
0,1,1,0.39689999999999626
0,1,2,0.4748999999999969
0,1,3,0.5297999999999973
0,1,4,0.5077999999999967
0,1,5,0.3404999999999982
0,1,6,0.4325999999999973
0,1,7,0.4128999999999975
0,1,8,0.4131999999999952
0,1,9,0.48169999999999796
0,1,10,0.3335999999999979
0,1,11,0.38799999999999774
0,1,12,0.362999999999998
0,1,13,0.5445999999999975
0,1,14,0.45059999999999717
0,1,15,0.3450999999999973
0,1,16,0.3654999999999967
0,1,17,0.4307999999999988
0,1,18,0.5552999999999976
0,1,19,0.48509999999999687
