i-th device,j-th device,n-th challenge,dist
0,1,0,0.4185999999999886
0,1,1,0.4902999999999895
0,1,2,0.5021999999999899
0,1,3,0.42609999999998666
0,1,4,0.43029999999998764
0,1,5,0.6015999999999828
0,1,6,0.5106999999999868
0,1,7,0.4660999999999861
0,1,8,0.493699999999985
0,1,9,0.5900999999999812
0,2,0,0.49319999999998765
0,2,1,0.6205999999999864
0,2,2,0.4978999999999912
0,2,3,0.5326999999999839
0,2,4,0.46889999999998677
0,2,5,0.5340999999999869
0,2,6,0.49039999999998735
0,2,7,0.47259999999998725
0,2,8,0.5079999999999852
0,2,9,0.5975999999999804
1,2,0,0.41559999999998887
1,2,1,0.4614999999999894
1,2,2,0.5287999999999896
1,2,3,0.4852999999999855
1,2,4,0.4822999999999861
1,2,5,0.47809999999998803
1,2,6,0.404899999999987
1,2,7,0.43719999999998876
1,2,8,0.36379999999998874
1,2,9,0.4452999999999881
